student_id,year,band,instrument,lyrical_etude_musicality_tempo_style,lyrical_etude_tone_quality,lyrical_etude_note_accuracy,lyrical_etude_rhythmic_accuracy,lyrical_etude_artistry,technical_etude_musicality_tempo_style,technical_etude_tone_quality,technical_etude_note_accuracy,technical_etude_rhythmic_accuracy,technical_etude_articulation,technical_etude_artistry,sight_reading_musicality_tempo_style,sight_reading_tone_quality,sight_reading_note_accuracy,sight_reading_rhythmic_accuracy,sight_reading_artistry,scales_chromatic,scales_g,scales_gb,scales_c,scales_f,scales_bb,scales_eb,scales_ab,scales_a,scales_b,scales_d,scales_e,scales_db,scales_tone_quality,scales_musicality_tempo_style,scales_articulation_style,scales_note_accuracy
28624,2013,symphonicband,Trombone,0.25,0.33,0.2,0.1,0.2,0.4,0.33,0.6,0.3,-1,0.4,0.1,0.2,0.1,0.1,0.2,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.1,-1,0.17
28641,2013,symphonicband,Trombone,0.8,0.67,0.9,0.8,0.8,0.9,0.67,0.9,0.9,-1,0.8,0.3,0.4,0.6,0.3,0.4,0.87,0.5,0.5,0.5,0.5,0.38,0.5,0.5,0.5,0.38,0.38,0.38,0.5,0.75,0.8,-1,0.93
28672,2013,symphonicband,Trombone,0.4,0.33,0.7,0.5,0.4,0.5,0.33,0.5,0.3,-1,0.4,0.1,0.2,0.1,0.1,0.2,0.47,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.1,-1,0.17
28950,2013,symphonicband,Bass Trombone,0.4,0.67,0.7,0.7,0.6,0.5,0.67,0.7,0.8,-1,0.4,0.2,0.4,0.3,0.2,0.4,0.4,0.5,0.38,0.38,0.25,0.62,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.4,-1,0.33
28987,2013,symphonicband,Trombone,0.75,0.47,0.7,0.8,0.8,0.8,0.53,0.7,0.9,-1,0.8,0.6,0.6,0.7,0.6,0.6,0.73,0.5,0.0,0.5,0.5,0.5,0.5,0.38,0.5,0.5,0.5,0.5,0.38,0.75,0.7,-1,0.83
28997,2013,symphonicband,Trombone,0.6,0.53,0.7,0.8,0.6,0.55,0.53,0.5,0.7,-1,0.6,0.6,0.6,0.8,0.8,0.8,0.47,0.38,0.38,0.38,0.5,0.38,0.0,0.38,0.38,0.25,0.0,0.0,0.0,0.6,0.6,-1,0.87
29000,2013,symphonicband,Trombone,0.8,0.73,0.9,0.8,0.8,0.65,0.8,0.9,0.9,-1,0.8,0.7,0.6,0.7,0.7,0.6,0.4,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.5,-1,0.93
29085,2013,symphonicband,Trombone,0.6,0.53,0.6,0.5,0.6,0.5,0.73,0.6,0.3,-1,0.4,0.0,0.6,0.0,0.0,0.0,0.47,0.25,0.0,0.0,0.0,0.38,0.0,0.25,0.25,0.0,0.0,0.38,0.0,0.6,0.3,-1,0.3
29150,2013,symphonicband,Trombone,0.8,0.87,0.9,0.9,0.6,0.75,0.67,0.7,0.5,-1,0.4,0.5,0.8,0.6,0.5,0.6,0.33,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.38,0.0,0.0,0.5,0.0,0.75,0.3,-1,0.5
29275,2013,symphonicband,Trombone,0.4,0.33,0.6,0.7,0.4,0.45,0.53,0.5,0.5,-1,0.6,0.2,0.2,0.3,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2,-1,0.17
29296,2013,symphonicband,Trombone,0.6,0.33,0.8,0.7,0.6,0.8,0.27,0.7,0.6,-1,0.8,0.2,0.4,0.3,0.4,0.2,0.33,0.38,0.25,0.62,0.38,0.62,0.38,0.38,0.25,0.12,0.38,0.25,0.38,0.25,0.2,-1,0.33
29324,2013,symphonicband,Trombone,0.8,0.6,0.8,0.9,0.8,0.8,0.47,0.8,0.6,-1,0.8,0.2,0.6,0.3,0.3,0.2,0.73,0.5,0.25,0.38,0.38,0.38,0.5,0.5,0.5,0.38,0.0,0.0,0.5,0.75,0.4,-1,0.53
29371,2013,symphonicband,Trombone,0.6,0.33,0.8,0.8,0.6,0.85,0.4,0.6,0.8,-1,0.8,0.1,0.4,0.2,0.1,0.2,0.6,0.38,0.38,0.25,0.38,0.5,0.12,0.5,0.38,0.38,0.25,0.38,0.25,0.55,0.5,-1,0.63
29525,2013,symphonicband,Trombone,0.9,0.87,0.9,0.9,0.8,0.75,0.8,0.9,0.9,-1,0.8,0.5,0.8,0.5,0.4,0.4,0.93,0.5,0.5,0.5,0.5,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.9,0.8,-1,0.93
28986,2013,symphonicband,Flute,0.6,0.67,0.7,0.5,0.4,0.65,0.67,0.6,0.6,-1,0.4,0.3,0.4,0.5,0.3,0.0,0.4,0.38,0.38,0.38,0.25,0.25,0.5,0.38,0.25,0.12,0.0,0.38,0.12,0.45,0.5,-1,0.23
29071,2013,symphonicband,Flute,0.65,0.67,0.9,0.7,0.6,0.5,0.53,0.7,0.7,-1,0.4,0.6,0.4,0.7,0.6,0.4,0.67,0.62,0.5,0.62,0.62,0.5,0.5,0.62,0.5,0.5,0.5,0.62,0.5,0.45,0.7,-1,0.7
29090,2013,symphonicband,Flute,0.6,0.73,0.9,0.8,0.8,0.75,0.73,0.8,0.8,-1,0.6,0.5,0.4,0.5,0.5,0.4,0.67,0.62,0.5,0.5,0.5,0.62,0.62,0.62,0.62,0.38,0.62,0.5,0.5,0.6,0.7,-1,0.83
29093,2013,symphonicband,Flute,0.55,0.6,0.9,0.9,0.4,0.65,0.8,0.8,0.8,-1,0.6,0.6,0.8,0.5,0.5,0.6,0.87,0.62,0.5,0.5,0.62,0.62,0.5,0.5,0.5,0.5,0.62,0.5,0.62,0.75,0.8,-1,0.87
29109,2013,symphonicband,Flute,0.5,0.67,0.8,0.7,0.6,0.35,0.2,0.5,0.4,-1,0.2,0.2,0.2,0.2,0.4,0.0,0.53,0.62,0.62,0.5,0.62,0.5,0.5,0.62,0.5,0.75,0.5,0.62,0.62,0.55,0.6,-1,0.67
29152,2013,symphonicband,Flute,0.6,0.47,0.7,0.5,0.2,0.3,0.47,0.7,0.5,-1,0.2,0.4,0.6,0.6,0.4,0.2,0.6,0.5,0.5,0.75,0.5,0.25,0.62,0.62,0.25,0.25,0.38,0.0,0.38,0.6,0.6,-1,0.4
29153,2013,symphonicband,Flute,0.65,0.6,0.8,0.8,0.6,0.6,0.6,0.7,0.8,-1,0.6,0.4,0.6,0.6,0.4,0.2,0.8,0.5,0.62,0.88,0.62,0.5,0.62,0.62,0.5,0.5,0.62,0.62,0.62,0.75,0.8,-1,0.87
29166,2013,symphonicband,Flute,0.65,0.6,0.8,0.7,0.4,0.6,0.67,0.6,0.6,-1,0.4,0.3,0.4,0.4,0.4,0.2,0.6,0.62,0.5,0.5,0.5,0.5,0.62,0.5,0.5,0.12,0.5,0.62,0.5,0.6,0.6,-1,0.53
29170,2013,symphonicband,Flute,0.6,0.53,0.7,0.6,0.4,0.45,0.53,0.7,0.7,-1,0.2,0.3,0.6,0.6,0.4,0.2,0.8,0.5,0.5,0.75,0.5,0.25,0.5,0.5,0.38,0.38,0.5,0.5,0.38,0.55,0.3,-1,0.43
29190,2013,symphonicband,Flute,0.6,0.53,0.8,0.8,0.4,0.75,0.73,0.8,0.8,-1,0.6,0.6,0.6,0.7,0.5,0.6,0.87,0.62,0.62,0.88,0.62,0.62,0.62,0.62,0.5,0.75,0.62,0.5,0.62,0.75,0.7,-1,0.83
29291,2013,symphonicband,Flute,0.65,0.6,0.8,0.8,0.6,0.5,0.6,0.6,0.6,-1,0.4,0.5,0.4,0.6,0.6,0.2,0.67,0.5,0.5,0.88,0.62,0.38,0.5,0.62,0.25,0.5,0.5,0.62,0.75,0.6,0.6,-1,0.63
29297,2013,symphonicband,Flute,0.55,0.47,0.7,0.5,0.4,0.5,0.47,0.7,0.5,-1,0.2,0.4,0.4,0.5,0.3,0.2,0.0,0.62,0.0,0.5,0.38,0.25,0.25,0.25,0.12,0.0,0.38,0.0,0.25,0.2,0.4,-1,0.27
29370,2013,symphonicband,Flute,0.65,0.8,0.9,0.8,0.6,0.6,0.73,0.6,0.7,-1,0.4,0.2,0.4,0.3,0.2,0.0,0.53,0.62,0.5,0.62,0.5,0.5,0.62,0.5,0.38,0.62,0.5,0.5,0.5,0.65,0.7,-1,0.63
29397,2013,symphonicband,Flute,0.45,0.6,0.8,0.8,0.4,0.3,0.47,0.7,0.2,-1,0.0,0.6,0.6,0.6,0.6,0.4,0.27,0.5,0.38,0.62,0.5,0.38,0.5,0.5,0.38,0.25,0.5,0.38,0.62,0.55,0.5,-1,0.6
29496,2013,symphonicband,Flute,0.7,0.8,0.9,0.9,0.8,0.6,0.8,0.8,0.8,-1,0.6,0.5,0.6,0.6,0.5,0.4,0.67,0.5,0.5,0.88,0.62,0.38,0.62,0.62,0.38,0.5,0.5,0.5,0.5,0.65,0.7,-1,0.73
29553,2013,symphonicband,Flute,0.8,0.8,0.9,0.9,0.8,0.7,0.73,0.9,0.8,-1,0.8,0.8,0.8,0.8,0.8,0.8,0.93,0.62,0.62,1.0,0.62,0.62,0.62,0.62,0.62,0.62,0.5,0.62,0.88,0.85,0.9,-1,0.9
29583,2013,symphonicband,Flute,0.55,0.6,0.9,0.8,0.4,0.5,0.6,0.8,0.7,-1,0.4,0.6,0.4,0.7,0.7,0.4,0.73,0.62,0.62,0.75,0.38,0.5,0.38,0.62,0.5,0.75,0.5,0.5,0.5,0.4,0.6,-1,0.63
29591,2013,symphonicband,Flute,0.45,0.53,0.7,0.7,0.2,0.6,0.53,0.8,0.8,-1,0.4,0.3,0.4,0.3,0.3,0.2,0.73,0.5,0.5,0.62,0.5,0.62,0.62,0.5,0.5,0.5,0.62,0.38,0.38,0.5,0.6,-1,0.67
29605,2013,symphonicband,Flute,0.65,0.8,0.8,0.8,0.6,0.6,0.8,0.7,0.7,-1,0.4,0.3,0.4,0.3,0.4,0.0,0.47,0.62,0.62,0.5,0.5,0.5,0.62,0.62,0.25,0.12,0.5,0.62,0.5,0.65,0.7,-1,0.63
29606,2013,symphonicband,Flute,0.55,0.6,0.9,0.8,0.4,0.5,0.67,0.6,0.6,-1,0.2,0.2,0.6,0.3,0.2,0.0,0.6,0.5,0.5,0.75,0.5,0.5,0.5,0.62,0.38,0.5,0.38,0.25,0.5,0.35,0.5,-1,0.53
29607,2013,symphonicband,Flute,0.75,0.8,0.9,0.8,0.6,0.65,0.73,0.7,0.7,-1,0.4,0.4,0.6,0.6,0.6,0.6,0.8,0.62,0.38,0.88,0.62,0.5,0.62,0.5,0.5,0.88,0.5,0.62,0.62,0.6,0.6,-1,0.63
29773,2013,symphonicband,Flute,0.6,0.67,0.8,0.8,0.4,0.6,0.73,0.9,0.9,-1,0.6,0.4,0.4,0.6,0.5,0.2,0.73,0.62,0.62,0.75,0.62,0.62,0.62,0.62,0.62,0.5,0.38,0.62,0.62,0.6,0.8,-1,0.73
29799,2013,symphonicband,Piccolo,-1,-1,-1,-1,-1,0.5,0.53,0.7,0.8,-1,0.2,-1,-1,-1,-1,-1,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0.0
29800,2013,symphonicband,Piccolo,-1,-1,-1,-1,-1,0.5,0.47,0.5,0.6,-1,0.2,-1,-1,-1,-1,-1,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0.0
29842,2013,symphonicband,Flute,0.7,0.8,0.9,0.9,0.8,0.65,0.87,0.9,0.9,-1,0.8,0.7,1.0,0.8,0.7,0.8,0.93,0.62,0.5,0.88,0.62,0.62,0.62,0.62,0.5,0.88,0.62,0.62,0.88,0.75,0.8,-1,0.9
29952,2013,symphonicband,Flute,0.65,0.73,0.9,0.9,0.8,0.7,0.8,0.8,0.8,-1,0.8,0.7,0.8,0.7,0.7,0.8,1.0,0.62,0.5,1.0,0.62,0.62,0.62,0.62,0.5,0.88,0.62,0.62,0.88,0.7,0.8,-1,0.5
29975,2013,symphonicband,Flute,0.5,0.6,0.7,0.5,0.4,0.4,0.53,0.6,0.7,-1,0.4,0.4,0.4,0.7,0.6,0.4,0.6,0.62,0.0,0.75,0.0,0.62,0.62,0.5,0.25,0.5,0.62,0.0,0.75,0.5,0.5,-1,0.63
29976,2013,symphonicband,Piccolo,-1,-1,-1,-1,-1,0.5,0.6,0.7,0.7,-1,0.4,-1,-1,-1,-1,-1,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0.0
30000,2013,symphonicband,Flute,0.55,0.73,0.8,0.8,0.6,0.4,0.53,0.7,0.7,-1,0.4,0.4,0.6,0.6,0.5,0.2,0.73,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.62,0.5,0.62,0.62,0.5,0.55,0.7,-1,0.5
30034,2013,symphonicband,Flute,0.55,0.53,0.8,0.8,0.6,0.6,0.6,0.7,0.8,-1,0.6,0.4,0.6,0.6,0.4,0.2,0.8,0.5,0.5,0.88,0.5,0.62,0.62,0.5,0.62,0.5,0.5,0.5,0.5,0.45,0.6,-1,0.57
30039,2013,symphonicband,Piccolo,-1,-1,-1,-1,-1,0.5,0.47,0.8,0.8,-1,0.4,-1,-1,-1,-1,-1,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0.0
30040,2013,symphonicband,Flute,0.55,0.6,0.8,0.7,0.4,0.6,0.67,0.8,0.8,-1,0.4,0.4,0.6,0.6,0.5,0.4,0.8,0.62,0.38,0.75,0.5,0.5,0.62,0.5,0.5,0.25,0.38,0.62,0.62,0.45,0.5,-1,0.5
30041,2013,symphonicband,Flute,0.55,0.53,0.9,0.8,0.6,0.35,0.53,0.7,0.6,-1,0.0,0.5,0.4,0.8,0.7,0.4,0.87,0.62,0.62,0.88,0.62,0.62,0.62,0.62,0.5,0.62,0.62,0.62,0.75,0.45,0.6,-1,0.67
30048,2013,symphonicband,Flute,0.6,0.53,0.9,0.9,0.4,0.65,0.67,0.8,0.8,-1,0.6,0.4,0.6,0.5,0.5,0.2,0.93,0.5,0.62,0.88,0.62,0.62,0.62,0.62,0.62,0.88,0.75,0.62,0.75,0.75,0.8,-1,0.87
30053,2013,symphonicband,Flute,0.5,0.53,0.8,0.8,0.2,0.55,0.6,0.7,0.7,-1,0.2,0.4,0.6,0.4,0.4,0.2,0.8,0.62,0.5,0.62,0.62,0.5,0.38,0.5,0.5,0.5,0.5,0.38,0.62,0.65,0.6,-1,0.6
30055,2013,symphonicband,Piccolo,-1,-1,-1,-1,-1,0.55,0.73,0.7,0.7,-1,0.4,-1,-1,-1,-1,-1,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0.0
30060,2013,symphonicband,Flute,0.5,0.6,0.7,0.8,0.2,0.45,0.67,0.5,0.6,-1,0.2,0.3,0.6,0.5,0.3,0.0,0.47,0.62,0.5,0.75,0.62,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.62,0.5,0.5,-1,0.47
30086,2013,symphonicband,Flute,0.6,0.47,0.8,0.8,0.4,0.55,0.47,0.8,0.8,-1,0.4,0.6,0.6,0.7,0.5,0.4,0.93,0.62,0.5,0.88,0.62,0.62,0.62,0.62,0.62,0.5,0.5,0.62,0.62,0.6,0.8,-1,0.73
30092,2013,symphonicband,Flute,0.6,0.6,0.8,0.6,0.4,0.45,0.53,0.8,0.5,-1,0.2,0.6,0.4,0.6,0.6,0.2,0.6,0.62,0.62,0.62,0.62,0.5,0.62,0.62,0.5,0.38,0.5,0.5,0.5,0.65,0.6,-1,0.7
30218,2013,symphonicband,Flute,0.45,0.53,0.7,0.4,0.2,0.15,0.27,0.3,0.3,-1,0.0,0.1,0.2,0.1,0.1,0.0,0.33,0.5,0.0,0.38,0.0,0.12,0.0,0.25,0.0,0.0,0.12,0.0,0.0,0.25,0.0,-1,0.1
30298,2013,symphonicband,Flute,0.65,0.73,0.9,0.9,0.6,0.65,0.8,0.7,0.7,-1,0.6,0.4,0.4,0.6,0.3,0.2,0.6,0.62,0.38,0.5,0.5,0.62,0.62,0.62,0.5,0.5,0.38,0.62,0.25,0.4,0.6,-1,0.6
30310,2013,symphonicband,Flute,0.0,0.33,0.1,0.1,0.0,0.0,0.27,0.0,0.0,-1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.12,0.0,0.12,0.0,0.0,0.38,0.25,0.25,0.15,0.1,-1,0.0
30317,2013,symphonicband,Flute,0.45,0.53,0.8,0.8,0.4,0.6,0.6,0.4,0.7,-1,0.4,0.2,0.6,0.2,0.2,0.0,0.73,0.62,0.5,0.75,0.62,0.62,0.5,0.62,0.5,0.38,0.5,0.62,0.5,0.6,0.8,-1,0.63
30356,2013,symphonicband,Flute,0.45,0.6,0.9,0.8,0.4,0.55,0.67,0.9,0.7,-1,0.6,0.5,0.6,0.6,0.5,0.6,0.67,0.62,0.62,0.75,0.62,0.5,0.62,0.62,0.62,0.75,0.62,0.62,0.75,0.65,0.8,-1,0.8
30562,2013,symphonicband,Flute,0.6,0.67,0.9,0.8,0.6,0.6,0.67,0.8,0.8,-1,0.4,0.4,0.4,0.6,0.4,0.2,0.8,0.62,0.5,0.75,0.62,0.5,0.5,0.62,0.5,0.5,0.62,0.5,0.62,0.55,0.7,-1,0.7
30563,2013,symphonicband,Piccolo,-1,-1,-1,-1,-1,0.6,0.67,0.7,0.8,-1,0.4,-1,-1,-1,-1,-1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0.0
30564,2013,symphonicband,Flute,0.55,0.47,0.8,0.7,0.4,0.45,0.53,0.6,0.6,-1,0.2,0.3,0.4,0.5,0.4,0.2,0.33,0.5,0.5,0.62,0.62,0.5,0.5,0.62,0.5,0.5,0.12,0.38,0.5,0.55,0.6,-1,0.57
30600,2013,symphonicband,Flute,0.8,0.8,0.9,0.9,0.8,0.65,0.8,0.8,0.7,-1,0.4,0.6,0.8,0.7,0.7,0.8,0.93,0.62,0.5,0.88,0.62,0.5,0.5,0.62,0.62,0.62,0.62,0.62,0.62,0.65,0.7,-1,0.87
30666,2013,symphonicband,Flute,0.55,0.47,0.8,0.6,0.6,0.65,0.47,0.8,0.7,-1,6.4,0.5,0.4,0.8,0.6,0.2,0.87,0.62,0.62,1.0,0.62,0.62,0.62,0.38,0.62,0.62,0.75,0.62,0.88,0.45,0.6,-1,0.8
30670,2013,symphonicband,Piccolo,-1,-1,-1,-1,-1,0.7,0.73,0.8,0.8,-1,0.6,-1,-1,-1,-1,-1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0.0
30671,2013,symphonicband,Flute,0.55,0.53,0.8,0.7,0.4,0.5,0.53,0.7,0.7,-1,0.2,0.5,0.6,0.6,0.5,0.2,0.67,0.5,0.62,0.88,0.62,0.5,0.5,0.62,0.5,0.5,0.62,0.5,0.75,0.45,0.6,-1,0.63
30729,2013,symphonicband,Flute,0.45,0.53,0.8,0.5,0.2,0.35,0.47,0.7,0.5,-1,0.2,0.2,0.4,0.2,0.1,0.0,0.47,0.5,0.0,0.38,0.38,0.12,0.5,0.5,0.12,0.75,0.5,0.5,0.5,0.45,0.5,-1,0.5
30757,2013,symphonicband,Flute,0.5,0.53,0.7,0.6,0.2,0.4,0.53,0.7,0.6,-1,0.2,0.2,0.4,0.3,0.4,0.2,0.53,0.62,0.62,0.75,0.5,0.38,0.5,0.62,0.5,0.62,0.38,0.5,0.5,0.45,0.6,-1,0.47
30803,2013,symphonicband,Flute,0.4,0.53,0.7,0.4,0.2,0.5,0.6,0.8,0.7,-1,0.4,0.4,0.2,0.7,0.5,0.2,0.47,0.62,0.5,0.75,0.5,0.62,0.5,0.62,0.62,0.5,0.38,0.62,0.5,0.5,0.6,-1,0.7
30830,2013,symphonicband,Flute,0.6,0.67,0.8,0.7,0.6,0.7,0.8,0.7,0.7,-1,0.6,0.5,0.4,0.6,0.5,0.4,0.93,0.62,0.62,0.88,0.62,0.62,0.62,0.5,0.62,0.5,0.5,0.62,0.5,0.65,0.8,-1,0.73
30831,2013,symphonicband,Flute,0.55,0.47,0.8,0.8,0.4,0.45,0.53,0.7,0.6,-1,0.2,0.3,0.4,0.6,0.4,0.2,0.67,0.5,0.62,0.88,0.5,0.62,0.62,0.62,0.62,0.75,0.5,0.62,0.62,0.6,0.7,-1,0.57
30832,2013,symphonicband,Flute,0.5,0.67,0.7,0.6,0.2,0.6,0.73,0.7,0.7,-1,0.4,0.3,0.4,0.3,0.3,0.0,0.73,0.62,0.5,0.88,0.62,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.55,0.6,-1,0.47
30916,2013,symphonicband,Flute,0.55,0.53,0.8,0.6,0.2,0.45,0.53,0.7,0.6,-1,0.2,0.4,0.4,0.5,0.4,0.2,0.53,0.62,0.5,0.88,0.5,0.62,0.5,0.62,0.5,0.38,0.5,0.5,0.38,0.55,0.6,-1,0.57
30920,2013,symphonicband,Flute,0.45,0.47,0.6,0.5,0.2,0.45,0.53,0.5,0.6,-1,0.2,0.3,0.4,0.3,0.4,0.2,0.67,0.62,0.5,0.75,0.62,0.5,0.5,0.62,0.5,0.62,0.5,0.5,0.5,0.55,0.7,-1,0.6
30924,2013,symphonicband,Piccolo,-1,-1,-1,-1,-1,0.8,0.8,0.9,0.9,-1,0.8,-1,-1,-1,-1,-1,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0.0
30931,2013,symphonicband,Flute,0.85,0.87,0.9,0.9,1.0,0.85,0.93,0.9,0.9,-1,1.0,0.7,1.0,0.7,0.7,0.8,1.0,0.62,0.62,0.88,0.62,0.62,0.62,0.62,0.62,0.88,0.62,0.62,0.5,0.8,0.9,-1,0.9
30934,2013,symphonicband,Flute,0.6,0.6,0.8,0.8,0.6,0.5,0.6,0.8,0.7,-1,0.4,0.5,0.6,0.7,0.7,0.6,0.67,0.62,0.62,1.0,0.62,0.62,0.62,0.62,0.62,0.5,0.62,0.62,0.5,0.6,0.7,-1,0.7
30968,2013,symphonicband,Flute,0.6,0.53,0.9,0.9,0.4,0.55,0.6,0.8,0.7,-1,0.4,0.5,0.6,0.5,0.6,0.2,0.73,0.62,0.62,0.88,0.62,0.62,0.38,0.62,0.62,0.75,0.75,0.62,0.88,0.6,0.6,-1,0.7
30969,2013,symphonicband,Piccolo,-1,-1,-1,-1,-1,0.55,0.6,0.6,0.6,-1,0.2,-1,-1,-1,-1,-1,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0.0
