ScoreID,Student,Instrument,CategoryGroup,Category,Score
438020,28580,Bb Clarinet,Sight-Reading,"Musicallity, Tempo & Style",4
438018,28580,Bb Clarinet,Sight-Reading,Note Accuracy,4
438019,28580,Bb Clarinet,Sight-Reading,Rhythmic Accuracy,4
438021,28580,Bb Clarinet,Sight-Reading,Tone Quality,3
438001,28580,Bb Clarinet,Technical Etude,Artistry,3
437997,28580,Bb Clarinet,Technical Etude,"Musicallity, Tempo & Style",15
437999,28580,Bb Clarinet,Technical Etude,Note Accuracy,9
438000,28580,Bb Clarinet,Technical Etude,Rhythmic Accuracy,9
437998,28580,Bb Clarinet,Technical Etude,Tone Quality,8
439658,28614,Trumpet,Lyrical Etude,Artistry,3
439654,28614,Trumpet,Lyrical Etude,"Musicallity, Tempo & Style",11
439656,28614,Trumpet,Lyrical Etude,Note Accuracy,7
439657,28614,Trumpet,Lyrical Etude,Rhythmic Accuracy,8
439655,28614,Trumpet,Lyrical Etude,Tone Quality,9
439667,28614,Trumpet,Scales,A,3
439666,28614,Trumpet,Scales,Ab,0
439669,28614,Trumpet,Scales,B,2
439668,28614,Trumpet,Scales,Bb,4
439670,28614,Trumpet,Scales,C,0
439664,28614,Trumpet,Scales,Chromatic,4
439672,28614,Trumpet,Scales,D,4
439671,28614,Trumpet,Scales,Db,5
439674,28614,Trumpet,Scales,E,0
439673,28614,Trumpet,Scales,Eb,0
439675,28614,Trumpet,Scales,F,6
439665,28614,Trumpet,Scales,G,4
439676,28614,Trumpet,Scales,Gb,0
439679,28614,Trumpet,Scales,"Musicality, Tempo, & Style",3
439677,28614,Trumpet,Scales,Note Accuracy/Consistency,5
439678,28614,Trumpet,Scales,Tone Quality,7
439684,28614,Trumpet,Sight-Reading,Artistry,1
439682,28614,Trumpet,Sight-Reading,"Musicallity, Tempo & Style",2
439680,28614,Trumpet,Sight-Reading,Note Accuracy,2
439681,28614,Trumpet,Sight-Reading,Rhythmic Accuracy,2
439683,28614,Trumpet,Sight-Reading,Tone Quality,2
439663,28614,Trumpet,Technical Etude,Artistry,3
439659,28614,Trumpet,Technical Etude,"Musicallity, Tempo & Style",12
439661,28614,Trumpet,Technical Etude,Note Accuracy,5
439662,28614,Trumpet,Technical Etude,Rhythmic Accuracy,6
439660,28614,Trumpet,Technical Etude,Tone Quality,10
439772,28615,Trumpet,Lyrical Etude,Artistry,4
439768,28615,Trumpet,Lyrical Etude,"Musicallity, Tempo & Style",14
439770,28615,Trumpet,Lyrical Etude,Note Accuracy,7
439771,28615,Trumpet,Lyrical Etude,Rhythmic Accuracy,8
439769,28615,Trumpet,Lyrical Etude,Tone Quality,7
439781,28615,Trumpet,Scales,A,5
439780,28615,Trumpet,Scales,Ab,4
439783,28615,Trumpet,Scales,B,5
439782,28615,Trumpet,Scales,Bb,4
439784,28615,Trumpet,Scales,C,2
439778,28615,Trumpet,Scales,Chromatic,4
439786,28615,Trumpet,Scales,D,0
439785,28615,Trumpet,Scales,Db,0
439788,28615,Trumpet,Scales,E,0
439787,28615,Trumpet,Scales,Eb,0
439789,28615,Trumpet,Scales,F,0
439779,28615,Trumpet,Scales,G,1
439790,28615,Trumpet,Scales,Gb,0
439793,28615,Trumpet,Scales,"Musicality, Tempo, & Style",2
439791,28615,Trumpet,Scales,Note Accuracy/Consistency,2
439792,28615,Trumpet,Scales,Tone Quality,8
439798,28615,Trumpet,Sight-Reading,Artistry,1
439796,28615,Trumpet,Sight-Reading,"Musicallity, Tempo & Style",2
439794,28615,Trumpet,Sight-Reading,Note Accuracy,5
439795,28615,Trumpet,Sight-Reading,Rhythmic Accuracy,1
439797,28615,Trumpet,Sight-Reading,Tone Quality,2
439777,28615,Trumpet,Technical Etude,Artistry,3
439773,28615,Trumpet,Technical Etude,"Musicallity, Tempo & Style",15
439775,28615,Trumpet,Technical Etude,Note Accuracy,7
439776,28615,Trumpet,Technical Etude,Rhythmic Accuracy,8
439774,28615,Trumpet,Technical Etude,Tone Quality,7
438027,28628,Bb Clarinet,Lyrical Etude,Artistry,3
438023,28628,Bb Clarinet,Lyrical Etude,"Musicallity, Tempo & Style",16
438025,28628,Bb Clarinet,Lyrical Etude,Note Accuracy,7
438026,28628,Bb Clarinet,Lyrical Etude,Rhythmic Accuracy,7
438024,28628,Bb Clarinet,Lyrical Etude,Tone Quality,12
438036,28628,Bb Clarinet,Scales,A,4
438035,28628,Bb Clarinet,Scales,Ab,5
438038,28628,Bb Clarinet,Scales,B,4
438037,28628,Bb Clarinet,Scales,Bb,4
438039,28628,Bb Clarinet,Scales,C,3
438033,28628,Bb Clarinet,Scales,Chromatic,12
438041,28628,Bb Clarinet,Scales,D,4
438040,28628,Bb Clarinet,Scales,Db,3
438043,28628,Bb Clarinet,Scales,E,4
438042,28628,Bb Clarinet,Scales,Eb,5
438044,28628,Bb Clarinet,Scales,F,2
438034,28628,Bb Clarinet,Scales,G,6
438045,28628,Bb Clarinet,Scales,Gb,3
438048,28628,Bb Clarinet,Scales,"Musicality, Tempo, & Style",4
438046,28628,Bb Clarinet,Scales,Note Accuracy/Consistency,22
438047,28628,Bb Clarinet,Scales,Tone Quality,10
438053,28628,Bb Clarinet,Sight-Reading,Artistry,3
438051,28628,Bb Clarinet,Sight-Reading,"Musicallity, Tempo & Style",6
438049,28628,Bb Clarinet,Sight-Reading,Note Accuracy,5
438050,28628,Bb Clarinet,Sight-Reading,Rhythmic Accuracy,7
438052,28628,Bb Clarinet,Sight-Reading,Tone Quality,3
438032,28628,Bb Clarinet,Technical Etude,Artistry,3
438028,28628,Bb Clarinet,Technical Etude,"Musicallity, Tempo & Style",15
438030,28628,Bb Clarinet,Technical Etude,Note Accuracy,6
438031,28628,Bb Clarinet,Technical Etude,Rhythmic Accuracy,7
438029,28628,Bb Clarinet,Technical Etude,Tone Quality,10
439834,28643,Trumpet,Lyrical Etude,Artistry,3
439830,28643,Trumpet,Lyrical Etude,"Musicallity, Tempo & Style",15
439832,28643,Trumpet,Lyrical Etude,Note Accuracy,8
439833,28643,Trumpet,Lyrical Etude,Rhythmic Accuracy,8
439831,28643,Trumpet,Lyrical Etude,Tone Quality,12
439843,28643,Trumpet,Scales,A,6
439842,28643,Trumpet,Scales,Ab,6
439845,28643,Trumpet,Scales,B,6
439844,28643,Trumpet,Scales,Bb,7
439846,28643,Trumpet,Scales,C,6
439840,28643,Trumpet,Scales,Chromatic,13
439848,28643,Trumpet,Scales,D,7
439847,28643,Trumpet,Scales,Db,6
439850,28643,Trumpet,Scales,E,6
439849,28643,Trumpet,Scales,Eb,7
439851,28643,Trumpet,Scales,F,7
439841,28643,Trumpet,Scales,G,7
439852,28643,Trumpet,Scales,Gb,7
439855,28643,Trumpet,Scales,"Musicality, Tempo, & Style",8
439853,28643,Trumpet,Scales,Note Accuracy/Consistency,26
439854,28643,Trumpet,Scales,Tone Quality,14
439860,28643,Trumpet,Sight-Reading,Artistry,3
439858,28643,Trumpet,Sight-Reading,"Musicallity, Tempo & Style",5
439856,28643,Trumpet,Sight-Reading,Note Accuracy,5
439857,28643,Trumpet,Sight-Reading,Rhythmic Accuracy,6
439859,28643,Trumpet,Sight-Reading,Tone Quality,3
439839,28643,Trumpet,Technical Etude,Artistry,3
439835,28643,Trumpet,Technical Etude,"Musicallity, Tempo & Style",16
439837,28643,Trumpet,Technical Etude,Note Accuracy,8
439838,28643,Trumpet,Technical Etude,Rhythmic Accuracy,8
439836,28643,Trumpet,Technical Etude,Tone Quality,12
438058,28644,Bb Clarinet,Lyrical Etude,Artistry,0
438054,28644,Bb Clarinet,Lyrical Etude,"Musicallity, Tempo & Style",0
438056,28644,Bb Clarinet,Lyrical Etude,Note Accuracy,0
438057,28644,Bb Clarinet,Lyrical Etude,Rhythmic Accuracy,0
438055,28644,Bb Clarinet,Lyrical Etude,Tone Quality,0
438067,28644,Bb Clarinet,Scales,A,3
438066,28644,Bb Clarinet,Scales,Ab,4
438069,28644,Bb Clarinet,Scales,B,3
438068,28644,Bb Clarinet,Scales,Bb,4
438070,28644,Bb Clarinet,Scales,C,3
438064,28644,Bb Clarinet,Scales,Chromatic,7
438072,28644,Bb Clarinet,Scales,D,3
438071,28644,Bb Clarinet,Scales,Db,3
438074,28644,Bb Clarinet,Scales,E,2
438073,28644,Bb Clarinet,Scales,Eb,2
438075,28644,Bb Clarinet,Scales,F,3
438065,28644,Bb Clarinet,Scales,G,3
438076,28644,Bb Clarinet,Scales,Gb,2
438079,28644,Bb Clarinet,Scales,"Musicality, Tempo, & Style",6
438077,28644,Bb Clarinet,Scales,Note Accuracy/Consistency,10
438078,28644,Bb Clarinet,Scales,Tone Quality,8
438084,28644,Bb Clarinet,Sight-Reading,Artistry,2
438082,28644,Bb Clarinet,Sight-Reading,"Musicallity, Tempo & Style",3
438080,28644,Bb Clarinet,Sight-Reading,Note Accuracy,5
438081,28644,Bb Clarinet,Sight-Reading,Rhythmic Accuracy,3
438083,28644,Bb Clarinet,Sight-Reading,Tone Quality,2
438063,28644,Bb Clarinet,Technical Etude,Artistry,0
438059,28644,Bb Clarinet,Technical Etude,"Musicallity, Tempo & Style",0
438061,28644,Bb Clarinet,Technical Etude,Note Accuracy,0
438062,28644,Bb Clarinet,Technical Etude,Rhythmic Accuracy,0
438060,28644,Bb Clarinet,Technical Etude,Tone Quality,0
439896,28646,Trumpet,Lyrical Etude,Artistry,4
439892,28646,Trumpet,Lyrical Etude,"Musicallity, Tempo & Style",12
439894,28646,Trumpet,Lyrical Etude,Note Accuracy,7
439895,28646,Trumpet,Lyrical Etude,Rhythmic Accuracy,7
439893,28646,Trumpet,Lyrical Etude,Tone Quality,10
439905,28646,Trumpet,Scales,A,3
439904,28646,Trumpet,Scales,Ab,6
439907,28646,Trumpet,Scales,B,5
439906,28646,Trumpet,Scales,Bb,5
439908,28646,Trumpet,Scales,C,6
439902,28646,Trumpet,Scales,Chromatic,10
439910,28646,Trumpet,Scales,D,5
439909,28646,Trumpet,Scales,Db,6
439912,28646,Trumpet,Scales,E,3
439911,28646,Trumpet,Scales,Eb,5
439913,28646,Trumpet,Scales,F,4
439903,28646,Trumpet,Scales,G,5
439914,28646,Trumpet,Scales,Gb,4
439917,28646,Trumpet,Scales,"Musicality, Tempo, & Style",6
439915,28646,Trumpet,Scales,Note Accuracy/Consistency,18
439916,28646,Trumpet,Scales,Tone Quality,11
439922,28646,Trumpet,Sight-Reading,Artistry,1
439920,28646,Trumpet,Sight-Reading,"Musicallity, Tempo & Style",2
439918,28646,Trumpet,Sight-Reading,Note Accuracy,3
439919,28646,Trumpet,Sight-Reading,Rhythmic Accuracy,2
439921,28646,Trumpet,Sight-Reading,Tone Quality,2
439901,28646,Trumpet,Technical Etude,Artistry,3
439897,28646,Trumpet,Technical Etude,"Musicallity, Tempo & Style",12
439899,28646,Trumpet,Technical Etude,Note Accuracy,7
439900,28646,Trumpet,Technical Etude,Rhythmic Accuracy,7
439898,28646,Trumpet,Technical Etude,Tone Quality,11
434894,28647,French Horn,Lyrical Etude,Artistry,3
434890,28647,French Horn,Lyrical Etude,"Musicallity, Tempo & Style",3
434892,28647,French Horn,Lyrical Etude,Note Accuracy,3
434893,28647,French Horn,Lyrical Etude,Rhythmic Accuracy,3
434891,28647,French Horn,Lyrical Etude,Tone Quality,3
434900,28647,French Horn,Scales,A,0
434889,28647,French Horn,Scales,Ab,0
439512,28647,French Horn,Scales,B,0
434901,28647,French Horn,Scales,Bb,3
439513,28647,French Horn,Scales,C,0
434887,28647,French Horn,Scales,Chromatic,5
439515,28647,French Horn,Scales,D,0
439514,28647,French Horn,Scales,Db,0
439517,28647,French Horn,Scales,E,0
439516,28647,French Horn,Scales,Eb,0
439518,28647,French Horn,Scales,F,0
434888,28647,French Horn,Scales,G,4
439519,28647,French Horn,Scales,Gb,0
434904,28647,French Horn,Scales,"Musicality, Tempo, & Style",2
434902,28647,French Horn,Scales,Note Accuracy/Consistency,5
434903,28647,French Horn,Scales,Tone Quality,4
434909,28647,French Horn,Sight-Reading,Artistry,0
434907,28647,French Horn,Sight-Reading,"Musicallity, Tempo & Style",2
434905,28647,French Horn,Sight-Reading,Note Accuracy,2
434906,28647,French Horn,Sight-Reading,Rhythmic Accuracy,2
434908,28647,French Horn,Sight-Reading,Tone Quality,2
434899,28647,French Horn,Technical Etude,Artistry,3
434895,28647,French Horn,Technical Etude,"Musicallity, Tempo & Style",3
434897,28647,French Horn,Technical Etude,Note Accuracy,3
434898,28647,French Horn,Technical Etude,Rhythmic Accuracy,3
434896,28647,French Horn,Technical Etude,Tone Quality,3
434914,28648,French Horn,Lyrical Etude,Artistry,3
434910,28648,French Horn,Lyrical Etude,"Musicallity, Tempo & Style",3
434912,28648,French Horn,Lyrical Etude,Note Accuracy,3
434913,28648,French Horn,Lyrical Etude,Rhythmic Accuracy,3
434911,28648,French Horn,Lyrical Etude,Tone Quality,3
434923,28648,French Horn,Scales,A,2
434922,28648,French Horn,Scales,Ab,2
434925,28648,French Horn,Scales,B,2
434924,28648,French Horn,Scales,Bb,2
434926,28648,French Horn,Scales,C,2
434920,28648,French Horn,Scales,Chromatic,1
434928,28648,French Horn,Scales,D,2
434927,28648,French Horn,Scales,Db,2
439520,28648,French Horn,Scales,E,0
434929,28648,French Horn,Scales,Eb,2
439521,28648,French Horn,Scales,F,0
434921,28648,French Horn,Scales,G,2
439522,28648,French Horn,Scales,Gb,0
434932,28648,French Horn,Scales,"Musicality, Tempo, & Style",3
434930,28648,French Horn,Scales,Note Accuracy/Consistency,3
434931,28648,French Horn,Scales,Tone Quality,3
434937,28648,French Horn,Sight-Reading,Artistry,1
434935,28648,French Horn,Sight-Reading,"Musicallity, Tempo & Style",1
434933,28648,French Horn,Sight-Reading,Note Accuracy,0
434934,28648,French Horn,Sight-Reading,Rhythmic Accuracy,1
434936,28648,French Horn,Sight-Reading,Tone Quality,1
434919,28648,French Horn,Technical Etude,Artistry,1
434915,28648,French Horn,Technical Etude,"Musicallity, Tempo & Style",2
434917,28648,French Horn,Technical Etude,Note Accuracy,3
434918,28648,French Horn,Technical Etude,Rhythmic Accuracy,3
434916,28648,French Horn,Technical Etude,Tone Quality,3
434942,28663,French Horn,Lyrical Etude,Artistry,3
434938,28663,French Horn,Lyrical Etude,"Musicallity, Tempo & Style",11
434940,28663,French Horn,Lyrical Etude,Note Accuracy,9
434941,28663,French Horn,Lyrical Etude,Rhythmic Accuracy,8
434939,28663,French Horn,Lyrical Etude,Tone Quality,8
439525,28663,French Horn,Scales,A,0
439524,28663,French Horn,Scales,Ab,0
439526,28663,French Horn,Scales,B,0
434949,28663,French Horn,Scales,Bb,2
439527,28663,French Horn,Scales,C,0
434948,28663,French Horn,Scales,Chromatic,4
439529,28663,French Horn,Scales,D,0
439528,28663,French Horn,Scales,Db,0
439531,28663,French Horn,Scales,E,0
439530,28663,French Horn,Scales,Eb,0
439532,28663,French Horn,Scales,F,0
439523,28663,French Horn,Scales,G,0
439533,28663,French Horn,Scales,Gb,0
439536,28663,French Horn,Scales,"Musicality, Tempo, & Style",0
439534,28663,French Horn,Scales,Note Accuracy/Consistency,0
439535,28663,French Horn,Scales,Tone Quality,0
439541,28663,French Horn,Sight-Reading,Artistry,0
439539,28663,French Horn,Sight-Reading,"Musicallity, Tempo & Style",0
439537,28663,French Horn,Sight-Reading,Note Accuracy,0
439538,28663,French Horn,Sight-Reading,Rhythmic Accuracy,0
439540,28663,French Horn,Sight-Reading,Tone Quality,0
434947,28663,French Horn,Technical Etude,Artistry,1
434943,28663,French Horn,Technical Etude,"Musicallity, Tempo & Style",5
434945,28663,French Horn,Technical Etude,Note Accuracy,7
434946,28663,French Horn,Technical Etude,Rhythmic Accuracy,5
434944,28663,French Horn,Technical Etude,Tone Quality,7
437813,28667,Alto Saxophone,Lyrical Etude,Artistry,1
437809,28667,Alto Saxophone,Lyrical Etude,"Musicallity, Tempo & Style",8
437811,28667,Alto Saxophone,Lyrical Etude,Note Accuracy,9
437812,28667,Alto Saxophone,Lyrical Etude,Rhythmic Accuracy,7
437810,28667,Alto Saxophone,Lyrical Etude,Tone Quality,6
437822,28667,Alto Saxophone,Scales,A,2
437821,28667,Alto Saxophone,Scales,Ab,2
437824,28667,Alto Saxophone,Scales,B,0
437823,28667,Alto Saxophone,Scales,Bb,0
437825,28667,Alto Saxophone,Scales,C,0
437819,28667,Alto Saxophone,Scales,Chromatic,8
437827,28667,Alto Saxophone,Scales,D,1
437826,28667,Alto Saxophone,Scales,Db,1
437829,28667,Alto Saxophone,Scales,E,1
437828,28667,Alto Saxophone,Scales,Eb,2
437830,28667,Alto Saxophone,Scales,F,1
437820,28667,Alto Saxophone,Scales,G,4
437831,28667,Alto Saxophone,Scales,Gb,3
437834,28667,Alto Saxophone,Scales,"Musicality, Tempo, & Style",1
437832,28667,Alto Saxophone,Scales,Note Accuracy/Consistency,15
437833,28667,Alto Saxophone,Scales,Tone Quality,8
437839,28667,Alto Saxophone,Sight-Reading,Artistry,1
437837,28667,Alto Saxophone,Sight-Reading,"Musicallity, Tempo & Style",1
437835,28667,Alto Saxophone,Sight-Reading,Note Accuracy,2
437836,28667,Alto Saxophone,Sight-Reading,Rhythmic Accuracy,2
437838,28667,Alto Saxophone,Sight-Reading,Tone Quality,4
437818,28667,Alto Saxophone,Technical Etude,Artistry,1
437814,28667,Alto Saxophone,Technical Etude,"Musicallity, Tempo & Style",8
437816,28667,Alto Saxophone,Technical Etude,Note Accuracy,8
437817,28667,Alto Saxophone,Technical Etude,Rhythmic Accuracy,8
437815,28667,Alto Saxophone,Technical Etude,Tone Quality,6
439923,28671,Trumpet,Lyrical Etude,"Musicallity, Tempo & Style",1
436870,28682,Euphonium,Lyrical Etude,Artistry,3
436866,28682,Euphonium,Lyrical Etude,"Musicallity, Tempo & Style",13
436868,28682,Euphonium,Lyrical Etude,Note Accuracy,7
436869,28682,Euphonium,Lyrical Etude,Rhythmic Accuracy,8
436867,28682,Euphonium,Lyrical Etude,Tone Quality,10
436879,28682,Euphonium,Scales,A,0
436878,28682,Euphonium,Scales,Ab,1
436881,28682,Euphonium,Scales,B,0
436880,28682,Euphonium,Scales,Bb,2
436882,28682,Euphonium,Scales,C,2
436876,28682,Euphonium,Scales,Chromatic,9
436884,28682,Euphonium,Scales,D,1
436883,28682,Euphonium,Scales,Db,2
436886,28682,Euphonium,Scales,E,0
436885,28682,Euphonium,Scales,Eb,3
436887,28682,Euphonium,Scales,F,2
436877,28682,Euphonium,Scales,G,2
436888,28682,Euphonium,Scales,Gb,1
436891,28682,Euphonium,Scales,"Musicality, Tempo, & Style",5
436889,28682,Euphonium,Scales,Note Accuracy/Consistency,13
436890,28682,Euphonium,Scales,Tone Quality,12
436896,28682,Euphonium,Sight-Reading,Artistry,2
436894,28682,Euphonium,Sight-Reading,"Musicallity, Tempo & Style",5
436892,28682,Euphonium,Sight-Reading,Note Accuracy,5
436893,28682,Euphonium,Sight-Reading,Rhythmic Accuracy,6
436895,28682,Euphonium,Sight-Reading,Tone Quality,3
436875,28682,Euphonium,Technical Etude,Artistry,4
436871,28682,Euphonium,Technical Etude,"Musicallity, Tempo & Style",15
436873,28682,Euphonium,Technical Etude,Note Accuracy,8
436874,28682,Euphonium,Technical Etude,Rhythmic Accuracy,9
436872,28682,Euphonium,Technical Etude,Tone Quality,11
434954,28684,French Horn,Lyrical Etude,Artistry,3
434950,28684,French Horn,Lyrical Etude,"Musicallity, Tempo & Style",16
434952,28684,French Horn,Lyrical Etude,Note Accuracy,9
434953,28684,French Horn,Lyrical Etude,Rhythmic Accuracy,8
434951,28684,French Horn,Lyrical Etude,Tone Quality,12
434963,28684,French Horn,Scales,A,4
434962,28684,French Horn,Scales,Ab,4
434965,28684,French Horn,Scales,B,4
434964,28684,French Horn,Scales,Bb,3
434966,28684,French Horn,Scales,C,5
434960,28684,French Horn,Scales,Chromatic,11
434968,28684,French Horn,Scales,D,4
434967,28684,French Horn,Scales,Db,3
434970,28684,French Horn,Scales,E,4
434969,28684,French Horn,Scales,Eb,5
434971,28684,French Horn,Scales,F,3
434961,28684,French Horn,Scales,G,4
434972,28684,French Horn,Scales,Gb,4
434975,28684,French Horn,Scales,"Musicality, Tempo, & Style",8
434973,28684,French Horn,Scales,Note Accuracy/Consistency,24
434974,28684,French Horn,Scales,Tone Quality,13
434980,28684,French Horn,Sight-Reading,Artistry,2
434978,28684,French Horn,Sight-Reading,"Musicallity, Tempo & Style",3
434976,28684,French Horn,Sight-Reading,Note Accuracy,4
434977,28684,French Horn,Sight-Reading,Rhythmic Accuracy,3
434979,28684,French Horn,Sight-Reading,Tone Quality,3
434959,28684,French Horn,Technical Etude,Artistry,3
434955,28684,French Horn,Technical Etude,"Musicallity, Tempo & Style",16
434957,28684,French Horn,Technical Etude,Note Accuracy,6
434958,28684,French Horn,Technical Etude,Rhythmic Accuracy,7
434956,28684,French Horn,Technical Etude,Tone Quality,11
435295,28686,Flute,Lyrical Etude,Artistry,2
435291,28686,Flute,Lyrical Etude,"Musicallity, Tempo & Style",15
435293,28686,Flute,Lyrical Etude,Note Accuracy,5
435294,28686,Flute,Lyrical Etude,Rhythmic Accuracy,4
435292,28686,Flute,Lyrical Etude,Tone Quality,12
435304,28686,Flute,Scales,A,1
435303,28686,Flute,Scales,Ab,4
435306,28686,Flute,Scales,B,1
435305,28686,Flute,Scales,Bb,3
435307,28686,Flute,Scales,C,3
435301,28686,Flute,Scales,Chromatic,2
435309,28686,Flute,Scales,D,4
435308,28686,Flute,Scales,Db,3
435311,28686,Flute,Scales,E,1
435310,28686,Flute,Scales,Eb,4
435312,28686,Flute,Scales,F,3
435302,28686,Flute,Scales,G,2
435313,28686,Flute,Scales,Gb,1
435316,28686,Flute,Scales,"Musicality, Tempo, & Style",4
435314,28686,Flute,Scales,Note Accuracy/Consistency,12
