ScoreID,Student,Instrument,CategoryNew,CategoryGroup,Category,Score
436343,28592,Flute,Sight-Reading-Artistry,Sight-Reading,Artistry,3
436364,28599,Flute,"Lyrical Etude-Musicallity, Tempo & Style",Lyrical Etude,"Musicallity, Tempo & Style",18
436365,28599,Flute,Lyrical Etude-Tone Quality,Lyrical Etude,Tone Quality,11
436366,28599,Flute,Lyrical Etude-Note Accuracy,Lyrical Etude,Note Accuracy,10
436367,28599,Flute,Lyrical Etude-Rhythmic Accuracy,Lyrical Etude,Rhythmic Accuracy,10
436368,28599,Flute,Lyrical Etude-Artistry,Lyrical Etude,Artistry,4
436369,28599,Flute,"Technical Etude-Musicallity, Tempo & Style",Technical Etude,"Musicallity, Tempo & Style",18
436370,28599,Flute,Technical Etude-Tone Quality,Technical Etude,Tone Quality,14
436371,28599,Flute,Technical Etude-Note Accuracy,Technical Etude,Note Accuracy,10
436372,28599,Flute,Technical Etude-Rhythmic Accuracy,Technical Etude,Rhythmic Accuracy,8
436373,28599,Flute,Technical Etude-Articulation,Technical Etude,Articulation,4
436374,28599,Flute,Scales-Chromatic,Scales,Chromatic,14
436406,28599,Flute,Scales-G,Scales,G,5
436407,28599,Flute,Scales-C,Scales,C,8
436408,28599,Flute,Scales-F,Scales,F,5
436409,28599,Flute,Scales-Bb,Scales,Bb,4
436410,28599,Flute,Scales-Eb,Scales,Eb,8
436411,28599,Flute,Scales-Ab,Scales,Ab,4
436412,28599,Flute,Scales-Db,Scales,Db,7
436413,28599,Flute,Scales-Note Accuracy/Consistency,Scales,Note Accuracy/Consistency,26
436414,28599,Flute,Scales-Tone Quality,Scales,Tone Quality,12
436415,28599,Flute,"Scales-Musicality, Tempo, & Style",Scales,"Musicality, Tempo, & Style",8
436416,28599,Flute,Sight-Reading-Note Accuracy,Sight-Reading,Note Accuracy,6
436417,28599,Flute,Sight-Reading-Rhythmic Accuracy,Sight-Reading,Rhythmic Accuracy,6
436418,28599,Flute,"Sight-Reading-Musicallity, Tempo & Style",Sight-Reading,"Musicallity, Tempo & Style",8
436419,28599,Flute,Sight-Reading-Tone Quality,Sight-Reading,Tone Quality,4
436420,28599,Flute,Sight-Reading-Artistry,Sight-Reading,Artistry,3
436452,28607,Flute,"Lyrical Etude-Musicallity, Tempo & Style",Lyrical Etude,"Musicallity, Tempo & Style",16
436453,28607,Flute,Lyrical Etude-Tone Quality,Lyrical Etude,Tone Quality,7
436454,28607,Flute,Lyrical Etude-Note Accuracy,Lyrical Etude,Note Accuracy,9
436455,28607,Flute,Lyrical Etude-Rhythmic Accuracy,Lyrical Etude,Rhythmic Accuracy,10
436456,28607,Flute,Lyrical Etude-Artistry,Lyrical Etude,Artistry,3
436457,28607,Flute,"Technical Etude-Musicallity, Tempo & Style",Technical Etude,"Musicallity, Tempo & Style",16
436458,28607,Flute,Technical Etude-Tone Quality,Technical Etude,Tone Quality,6
436459,28607,Flute,Technical Etude-Note Accuracy,Technical Etude,Note Accuracy,9
436460,28607,Flute,Technical Etude-Rhythmic Accuracy,Technical Etude,Rhythmic Accuracy,7
436461,28607,Flute,Technical Etude-Articulation,Technical Etude,Articulation,3
436493,28607,Flute,Scales-Chromatic,Scales,Chromatic,9
436494,28607,Flute,Scales-G,Scales,G,5
436495,28607,Flute,Scales-C,Scales,C,6
436496,28607,Flute,Scales-F,Scales,F,5
436497,28607,Flute,Scales-Bb,Scales,Bb,5
436498,28607,Flute,Scales-Eb,Scales,Eb,4
436499,28607,Flute,Scales-Tone Quality,Scales,Tone Quality,6
436500,28607,Flute,Scales-Ab,Scales,Ab,5
436501,28607,Flute,Scales-Db,Scales,Db,6
436502,28607,Flute,Scales-Note Accuracy/Consistency,Scales,Note Accuracy/Consistency,20
436503,28607,Flute,"Scales-Musicality, Tempo, & Style",Scales,"Musicality, Tempo, & Style",5
436535,28607,Flute,Sight-Reading-Note Accuracy,Sight-Reading,Note Accuracy,6
436536,28607,Flute,Sight-Reading-Rhythmic Accuracy,Sight-Reading,Rhythmic Accuracy,4
436537,28607,Flute,"Sight-Reading-Musicallity, Tempo & Style",Sight-Reading,"Musicallity, Tempo & Style",3
436538,28607,Flute,Sight-Reading-Tone Quality,Sight-Reading,Tone Quality,3
436539,28607,Flute,Sight-Reading-Artistry,Sight-Reading,Artistry,1
436540,28891,Flute,"Lyrical Etude-Musicallity, Tempo & Style",Lyrical Etude,"Musicallity, Tempo & Style",14
436541,28891,Flute,Lyrical Etude-Tone Quality,Lyrical Etude,Tone Quality,11
436542,28891,Flute,Lyrical Etude-Note Accuracy,Lyrical Etude,Note Accuracy,9
436543,28891,Flute,Lyrical Etude-Rhythmic Accuracy,Lyrical Etude,Rhythmic Accuracy,9
436544,28891,Flute,Lyrical Etude-Artistry,Lyrical Etude,Artistry,2
436576,28891,Flute,"Technical Etude-Musicallity, Tempo & Style",Technical Etude,"Musicallity, Tempo & Style",10
436577,28891,Flute,Technical Etude-Tone Quality,Technical Etude,Tone Quality,10
436578,28891,Flute,Technical Etude-Note Accuracy,Technical Etude,Note Accuracy,6
436579,28891,Flute,Technical Etude-Rhythmic Accuracy,Technical Etude,Rhythmic Accuracy,8
436580,28891,Flute,Technical Etude-Articulation,Technical Etude,Articulation,3
436581,28891,Flute,Scales-Chromatic,Scales,Chromatic,5
436582,28891,Flute,Scales-G,Scales,G,4
436583,28891,Flute,Scales-C,Scales,C,4
436584,28891,Flute,Scales-Note Accuracy/Consistency,Scales,Note Accuracy/Consistency,18
436585,28891,Flute,Scales-Tone Quality,Scales,Tone Quality,9
436586,28891,Flute,"Scales-Musicality, Tempo, & Style",Scales,"Musicality, Tempo, & Style",4
436587,28891,Flute,Scales-F,Scales,F,4
436588,28891,Flute,Scales-Bb,Scales,Bb,5
436589,28891,Flute,Scales-Eb,Scales,Eb,4
436590,28891,Flute,Scales-Ab,Scales,Ab,4
436591,28891,Flute,Scales-Db,Scales,Db,4
436592,28583,Euphonium,"Lyrical Etude-Musicallity, Tempo & Style",Lyrical Etude,"Musicallity, Tempo & Style",9
436593,28583,Euphonium,Lyrical Etude-Tone Quality,Lyrical Etude,Tone Quality,6
436594,28583,Euphonium,Lyrical Etude-Note Accuracy,Lyrical Etude,Note Accuracy,7
436595,28583,Euphonium,Lyrical Etude-Rhythmic Accuracy,Lyrical Etude,Rhythmic Accuracy,7
436596,28583,Euphonium,Lyrical Etude-Artistry,Lyrical Etude,Artistry,1
436597,28583,Euphonium,"Technical Etude-Musicallity, Tempo & Style",Technical Etude,"Musicallity, Tempo & Style",10
436598,28583,Euphonium,Technical Etude-Tone Quality,Technical Etude,Tone Quality,6
436599,28583,Euphonium,Technical Etude-Note Accuracy,Technical Etude,Note Accuracy,7
436600,28583,Euphonium,Technical Etude-Rhythmic Accuracy,Technical Etude,Rhythmic Accuracy,7
436601,28583,Euphonium,Technical Etude-Articulation,Technical Etude,Articulation,2
436602,28583,Euphonium,Scales-Chromatic,Scales,Chromatic,7
436603,28583,Euphonium,Scales-G,Scales,G,2
436604,28583,Euphonium,Scales-C,Scales,C,2
436605,28583,Euphonium,Scales-F,Scales,F,2
436606,28583,Euphonium,Scales-Bb,Scales,Bb,0
436607,28583,Euphonium,Scales-Eb,Scales,Eb,1
436608,28583,Euphonium,Scales-Ab,Scales,Ab,2
436609,28583,Euphonium,Scales-Db,Scales,Db,1
436610,28583,Euphonium,Scales-Note Accuracy/Consistency,Scales,Note Accuracy/Consistency,13
436611,28583,Euphonium,Scales-Tone Quality,Scales,Tone Quality,7
436612,28583,Euphonium,"Scales-Musicality, Tempo, & Style",Scales,"Musicality, Tempo, & Style",5
436613,28583,Euphonium,Sight-Reading-Note Accuracy,Sight-Reading,Note Accuracy,5
436614,28583,Euphonium,Sight-Reading-Rhythmic Accuracy,Sight-Reading,Rhythmic Accuracy,4
436615,28583,Euphonium,"Sight-Reading-Musicallity, Tempo & Style",Sight-Reading,"Musicallity, Tempo & Style",4
436616,28583,Euphonium,Sight-Reading-Tone Quality,Sight-Reading,Tone Quality,2
436617,28583,Euphonium,Sight-Reading-Artistry,Sight-Reading,Artistry,2
436618,28891,Flute,Sight-Reading-Note Accuracy,Sight-Reading,Note Accuracy,3
436619,28891,Flute,Sight-Reading-Rhythmic Accuracy,Sight-Reading,Rhythmic Accuracy,4
436620,28891,Flute,"Sight-Reading-Musicallity, Tempo & Style",Sight-Reading,"Musicallity, Tempo & Style",2
436621,28891,Flute,Sight-Reading-Tone Quality,Sight-Reading,Tone Quality,2
436622,28891,Flute,Sight-Reading-Artistry,Sight-Reading,Artistry,0
436623,28933,Flute,"Lyrical Etude-Musicallity, Tempo & Style",Lyrical Etude,"Musicallity, Tempo & Style",15
436624,28933,Flute,Lyrical Etude-Tone Quality,Lyrical Etude,Tone Quality,9
436625,28933,Flute,Lyrical Etude-Note Accuracy,Lyrical Etude,Note Accuracy,10
436626,28933,Flute,Lyrical Etude-Rhythmic Accuracy,Lyrical Etude,Rhythmic Accuracy,10
436627,28933,Flute,Lyrical Etude-Artistry,Lyrical Etude,Artistry,3
436628,28933,Flute,"Technical Etude-Musicallity, Tempo & Style",Technical Etude,"Musicallity, Tempo & Style",14
436629,28933,Flute,Technical Etude-Tone Quality,Technical Etude,Tone Quality,9
436630,28933,Flute,Technical Etude-Note Accuracy,Technical Etude,Note Accuracy,10
436631,28933,Flute,Technical Etude-Rhythmic Accuracy,Technical Etude,Rhythmic Accuracy,9
436632,28933,Flute,Technical Etude-Articulation,Technical Etude,Articulation,3
436664,28933,Flute,Scales-Chromatic,Scales,Chromatic,12
436665,28933,Flute,Scales-Tone Quality,Scales,Tone Quality,8
436666,28933,Flute,Scales-G,Scales,G,4
436667,28933,Flute,Scales-C,Scales,C,7
436668,28933,Flute,Scales-F,Scales,F,4
436669,28933,Flute,Scales-Bb,Scales,Bb,5
436670,28933,Flute,Scales-Eb,Scales,Eb,5
436671,28933,Flute,Scales-Ab,Scales,Ab,4
436672,28933,Flute,Scales-Db,Scales,Db,5
436673,28933,Flute,Scales-Note Accuracy/Consistency,Scales,Note Accuracy/Consistency,24
436674,28933,Flute,"Scales-Musicality, Tempo, & Style",Scales,"Musicality, Tempo, & Style",7
436675,28584,Tuba,"Lyrical Etude-Musicallity, Tempo & Style",Lyrical Etude,"Musicallity, Tempo & Style",12
436676,28584,Tuba,Lyrical Etude-Tone Quality,Lyrical Etude,Tone Quality,6
436677,28584,Tuba,Lyrical Etude-Note Accuracy,Lyrical Etude,Note Accuracy,7
436678,28584,Tuba,Lyrical Etude-Rhythmic Accuracy,Lyrical Etude,Rhythmic Accuracy,7
436679,28584,Tuba,Lyrical Etude-Artistry,Lyrical Etude,Artistry,3
436680,28584,Tuba,"Technical Etude-Musicallity, Tempo & Style",Technical Etude,"Musicallity, Tempo & Style",11
436681,28584,Tuba,Technical Etude-Tone Quality,Technical Etude,Tone Quality,6
436682,28584,Tuba,Technical Etude-Note Accuracy,Technical Etude,Note Accuracy,7
436683,28584,Tuba,Technical Etude-Rhythmic Accuracy,Technical Etude,Rhythmic Accuracy,6
436684,28584,Tuba,Technical Etude-Articulation,Technical Etude,Articulation,2
436685,28584,Tuba,Scales-Chromatic,Scales,Chromatic,7
436686,28584,Tuba,Scales-G,Scales,G,1
436687,28584,Tuba,Scales-C,Scales,C,2
436688,28584,Tuba,Scales-F,Scales,F,2
436689,28584,Tuba,Scales-Bb,Scales,Bb,1
436690,28584,Tuba,Scales-Eb,Scales,Eb,2
436691,28584,Tuba,Scales-Ab,Scales,Ab,1
436692,28584,Tuba,Scales-Db,Scales,Db,1
436693,28584,Tuba,Scales-Note Accuracy/Consistency,Scales,Note Accuracy/Consistency,11
436694,28584,Tuba,Scales-Tone Quality,Scales,Tone Quality,6
436695,28584,Tuba,"Scales-Musicality, Tempo, & Style",Scales,"Musicality, Tempo, & Style",4
436696,28584,Tuba,Sight-Reading-Note Accuracy,Sight-Reading,Note Accuracy,5
436697,28584,Tuba,Sight-Reading-Rhythmic Accuracy,Sight-Reading,Rhythmic Accuracy,5
436698,28584,Tuba,"Sight-Reading-Musicallity, Tempo & Style",Sight-Reading,"Musicallity, Tempo & Style",4
436699,28584,Tuba,Sight-Reading-Tone Quality,Sight-Reading,Tone Quality,2
436700,28584,Tuba,Sight-Reading-Artistry,Sight-Reading,Artistry,2
436701,28933,Flute,Sight-Reading-Note Accuracy,Sight-Reading,Note Accuracy,4
436702,28933,Flute,Sight-Reading-Rhythmic Accuracy,Sight-Reading,Rhythmic Accuracy,3
436703,28933,Flute,"Sight-Reading-Musicallity, Tempo & Style",Sight-Reading,"Musicallity, Tempo & Style",2
436704,28933,Flute,Sight-Reading-Tone Quality,Sight-Reading,Tone Quality,2
436705,28933,Flute,Sight-Reading-Artistry,Sight-Reading,Artistry,0
436706,28961,Flute,"Lyrical Etude-Musicallity, Tempo & Style",Lyrical Etude,"Musicallity, Tempo & Style",13
436707,28961,Flute,Lyrical Etude-Tone Quality,Lyrical Etude,Tone Quality,12
436708,28961,Flute,Lyrical Etude-Note Accuracy,Lyrical Etude,Note Accuracy,10
436709,28961,Flute,Lyrical Etude-Rhythmic Accuracy,Lyrical Etude,Rhythmic Accuracy,6
436710,28961,Flute,Lyrical Etude-Artistry,Lyrical Etude,Artistry,1
436717,28961,Flute,"Technical Etude-Musicallity, Tempo & Style",Technical Etude,"Musicallity, Tempo & Style",17
436718,28961,Flute,Technical Etude-Tone Quality,Technical Etude,Tone Quality,13
436719,28961,Flute,Technical Etude-Note Accuracy,Technical Etude,Note Accuracy,10
436720,28961,Flute,Technical Etude-Rhythmic Accuracy,Technical Etude,Rhythmic Accuracy,9
436721,28961,Flute,Technical Etude-Articulation,Technical Etude,Articulation,4
436736,28961,Flute,Scales-Chromatic,Scales,Chromatic,13
436737,28961,Flute,Scales-G,Scales,G,5
436738,28961,Flute,Scales-C,Scales,C,8
436739,28961,Flute,Scales-F,Scales,F,5
436740,28961,Flute,Scales-Bb,Scales,Bb,5
436741,28961,Flute,Scales-Eb,Scales,Eb,5
436742,28961,Flute,Scales-Ab,Scales,Ab,5
436743,28961,Flute,Scales-Db,Scales,Db,5
436744,28961,Flute,Scales-Note Accuracy/Consistency,Scales,Note Accuracy/Consistency,28
436745,28961,Flute,Scales-Tone Quality,Scales,Tone Quality,14
436746,28961,Flute,"Scales-Musicality, Tempo, & Style",Scales,"Musicality, Tempo, & Style",9
436767,28585,Euphonium,"Lyrical Etude-Musicallity, Tempo & Style",Lyrical Etude,"Musicallity, Tempo & Style",10
436768,28585,Euphonium,Lyrical Etude-Tone Quality,Lyrical Etude,Tone Quality,8
436769,28585,Euphonium,Lyrical Etude-Note Accuracy,Lyrical Etude,Note Accuracy,7
436770,28585,Euphonium,Lyrical Etude-Rhythmic Accuracy,Lyrical Etude,Rhythmic Accuracy,7
436771,28585,Euphonium,Lyrical Etude-Artistry,Lyrical Etude,Artistry,2
436772,28585,Euphonium,"Technical Etude-Musicallity, Tempo & Style",Technical Etude,"Musicallity, Tempo & Style",11
436773,28585,Euphonium,Technical Etude-Tone Quality,Technical Etude,Tone Quality,8
436774,28585,Euphonium,Technical Etude-Note Accuracy,Technical Etude,Note Accuracy,7
436775,28585,Euphonium,Technical Etude-Rhythmic Accuracy,Technical Etude,Rhythmic Accuracy,6
436776,28585,Euphonium,Technical Etude-Articulation,Technical Etude,Articulation,1
436777,28585,Euphonium,Scales-Chromatic,Scales,Chromatic,8
436778,28585,Euphonium,Scales-G,Scales,G,2
436779,28585,Euphonium,Scales-C,Scales,C,0
436780,28585,Euphonium,Scales-F,Scales,F,2
436781,28585,Euphonium,Scales-Bb,Scales,Bb,0
436782,28585,Euphonium,Scales-Eb,Scales,Eb,2
436783,28585,Euphonium,Scales-Ab,Scales,Ab,1
436784,28585,Euphonium,Scales-Db,Scales,Db,1
436785,28585,Euphonium,Scales-Note Accuracy/Consistency,Scales,Note Accuracy/Consistency,9
436786,28585,Euphonium,Scales-Tone Quality,Scales,Tone Quality,8
436787,28585,Euphonium,"Scales-Musicality, Tempo, & Style",Scales,"Musicality, Tempo, & Style",4
436788,28585,Euphonium,Sight-Reading-Note Accuracy,Sight-Reading,Note Accuracy,5
436789,28585,Euphonium,Sight-Reading-Rhythmic Accuracy,Sight-Reading,Rhythmic Accuracy,6
436790,28585,Euphonium,"Sight-Reading-Musicallity, Tempo & Style",Sight-Reading,"Musicallity, Tempo & Style",5
436791,28585,Euphonium,Sight-Reading-Tone Quality,Sight-Reading,Tone Quality,3
436792,28585,Euphonium,Sight-Reading-Artistry,Sight-Reading,Artistry,2
436793,28961,Flute,Sight-Reading-Note Accuracy,Sight-Reading,Note Accuracy,6
436794,28961,Flute,Sight-Reading-Rhythmic Accuracy,Sight-Reading,Rhythmic Accuracy,5
436795,28961,Flute,"Sight-Reading-Musicallity, Tempo & Style",Sight-Reading,"Musicallity, Tempo & Style",2
436796,28961,Flute,Sight-Reading-Tone Quality,Sight-Reading,Tone Quality,4
436797,28961,Flute,Sight-Reading-Artistry,Sight-Reading,Artistry,2
436798,28972,Flute,"Lyrical Etude-Musicallity, Tempo & Style",Lyrical Etude,"Musicallity, Tempo & Style",15
436799,28972,Flute,Lyrical Etude-Tone Quality,Lyrical Etude,Tone Quality,8
436800,28972,Flute,Lyrical Etude-Note Accuracy,Lyrical Etude,Note Accuracy,8
436801,28972,Flute,Lyrical Etude-Rhythmic Accuracy,Lyrical Etude,Rhythmic Accuracy,9
436802,28972,Flute,Lyrical Etude-Artistry,Lyrical Etude,Artistry,3
436803,28972,Flute,"Technical Etude-Musicallity, Tempo & Style",Technical Etude,"Musicallity, Tempo & Style",14
436804,28972,Flute,Technical Etude-Tone Quality,Technical Etude,Tone Quality,9
436805,28972,Flute,Technical Etude-Note Accuracy,Technical Etude,Note Accuracy,8
436806,28972,Flute,Technical Etude-Rhythmic Accuracy,Technical Etude,Rhythmic Accuracy,8
436807,28972,Flute,Technical Etude-Articulation,Technical Etude,Articulation,3
436808,28972,Flute,Scales-Chromatic,Scales,Chromatic,11
436809,28972,Flute,Scales-G,Scales,G,4
436810,28972,Flute,Scales-C,Scales,C,6
436811,28972,Flute,Scales-F,Scales,F,5
436812,28972,Flute,Scales-Bb,Scales,Bb,4
436813,28972,Flute,Scales-Eb,Scales,Eb,3
436814,28972,Flute,Scales-Ab,Scales,Ab,4
436815,28972,Flute,Scales-Db,Scales,Db,6
436816,28972,Flute,Scales-Note Accuracy/Consistency,Scales,Note Accuracy/Consistency,22
436817,28972,Flute,Scales-Tone Quality,Scales,Tone Quality,8
436818,28972,Flute,"Scales-Musicality, Tempo, & Style",Scales,"Musicality, Tempo, & Style",5
436819,28602,Euphonium,"Lyrical Etude-Musicallity, Tempo & Style",Lyrical Etude,"Musicallity, Tempo & Style",10
436820,28602,Euphonium,Lyrical Etude-Tone Quality,Lyrical Etude,Tone Quality,7
436821,28602,Euphonium,Lyrical Etude-Note Accuracy,Lyrical Etude,Note Accuracy,7
436822,28602,Euphonium,Lyrical Etude-Rhythmic Accuracy,Lyrical Etude,Rhythmic Accuracy,7
436823,28602,Euphonium,Lyrical Etude-Artistry,Lyrical Etude,Artistry,2
436824,28602,Euphonium,"Technical Etude-Musicallity, Tempo & Style",Technical Etude,"Musicallity, Tempo & Style",9
436825,28602,Euphonium,Technical Etude-Tone Quality,Technical Etude,Tone Quality,7
436826,28602,Euphonium,Technical Etude-Note Accuracy,Technical Etude,Note Accuracy,6
436827,28602,Euphonium,Technical Etude-Rhythmic Accuracy,Technical Etude,Rhythmic Accuracy,6
436828,28602,Euphonium,Technical Etude-Articulation,Technical Etude,Articulation,1
436829,28602,Euphonium,Scales-Chromatic,Scales,Chromatic,9
436830,28602,Euphonium,Scales-G,Scales,G,1
436831,28602,Euphonium,Scales-C,Scales,C,0
436832,28602,Euphonium,Scales-F,Scales,F,1
436833,28602,Euphonium,Scales-Bb,Scales,Bb,0
436834,28602,Euphonium,Scales-Eb,Scales,Eb,0
436835,28602,Euphonium,Scales-Ab,Scales,Ab,0
436836,28602,Euphonium,Scales-Db,Scales,Db,0
436837,28602,Euphonium,Scales-Note Accuracy/Consistency,Scales,Note Accuracy/Consistency,7
436838,28602,Euphonium,Scales-Tone Quality,Scales,Tone Quality,7
436839,28602,Euphonium,"Scales-Musicality, Tempo, & Style",Scales,"Musicality, Tempo, & Style",3
436840,28602,Euphonium,Sight-Reading-Note Accuracy,Sight-Reading,Note Accuracy,3
436841,28602,Euphonium,Sight-Reading-Rhythmic Accuracy,Sight-Reading,Rhythmic Accuracy,4
436842,28602,Euphonium,"Sight-Reading-Musicallity, Tempo & Style",Sight-Reading,"Musicallity, Tempo & Style",4
436843,28602,Euphonium,Sight-Reading-Tone Quality,Sight-Reading,Tone Quality,2
436844,28602,Euphonium,Sight-Reading-Artistry,Sight-Reading,Artistry,1
436845,28972,Flute,Sight-Reading-Note Accuracy,Sight-Reading,Note Accuracy,6
436846,28972,Flute,Sight-Reading-Rhythmic Accuracy,Sight-Reading,Rhythmic Accuracy,5
436847,28972,Flute,"Sight-Reading-Musicallity, Tempo & Style",Sight-Reading,"Musicallity, Tempo & Style",5
436848,28972,Flute,Sight-Reading-Tone Quality,Sight-Reading,Tone Quality,3
436849,28972,Flute,Sight-Reading-Artistry,Sight-Reading,Artistry,1
436850,29037,Flute,"Lyrical Etude-Musicallity, Tempo & Style",Lyrical Etude,"Musicallity, Tempo & Style",7
436851,29037,Flute,Lyrical Etude-Tone Quality,Lyrical Etude,Tone Quality,6
436852,29037,Flute,Lyrical Etude-Note Accuracy,Lyrical Etude,Note Accuracy,9
436853,29037,Flute,Lyrical Etude-Rhythmic Accuracy,Lyrical Etude,Rhythmic Accuracy,4
436854,29037,Flute,Lyrical Etude-Artistry,Lyrical Etude,Artistry,0
436855,29037,Flute,"Technical Etude-Musicallity, Tempo & Style",Technical Etude,"Musicallity, Tempo & Style",7
436856,29037,Flute,Technical Etude-Tone Quality,Technical Etude,Tone Quality,5
436857,29037,Flute,Technical Etude-Note Accuracy,Technical Etude,Note Accuracy,6
436858,29037,Flute,Technical Etude-Rhythmic Accuracy,Technical Etude,Rhythmic Accuracy,5
436859,29037,Flute,Technical Etude-Articulation,Technical Etude,Articulation,2
436860,29037,Flute,Scales-Chromatic,Scales,Chromatic,3
436861,29037,Flute,Scales-G,Scales,G,5
436862,29037,Flute,Scales-C,Scales,C,4
436863,29037,Flute,Scales-F,Scales,F,5
436864,29037,Flute,Scales-Bb,Scales,Bb,4
436865,29037,Flute,Scales-Eb,Scales,Eb,5
436897,29037,Flute,Scales-Ab,Scales,Ab,3
436898,29037,Flute,Scales-Db,Scales,Db,3
436899,29037,Flute,Scales-Note Accuracy/Consistency,Scales,Note Accuracy/Consistency,18
436900,29037,Flute,Scales-Tone Quality,Scales,Tone Quality,5
436901,29037,Flute,"Scales-Musicality, Tempo, & Style",Scales,"Musicality, Tempo, & Style",4
436902,29037,Flute,Sight-Reading-Note Accuracy,Sight-Reading,Note Accuracy,4
436903,29037,Flute,Sight-Reading-Rhythmic Accuracy,Sight-Reading,Rhythmic Accuracy,5
436904,29037,Flute,"Sight-Reading-Musicallity, Tempo & Style",Sight-Reading,"Musicallity, Tempo & Style",3
436905,29037,Flute,Sight-Reading-Tone Quality,Sight-Reading,Tone Quality,3
436906,29037,Flute,Sight-Reading-Artistry,Sight-Reading,Artistry,1
436907,29042,Flute,"Lyrical Etude-Musicallity, Tempo & Style",Lyrical Etude,"Musicallity, Tempo & Style",2
436908,29042,Flute,Lyrical Etude-Tone Quality,Lyrical Etude,Tone Quality,7
436909,29042,Flute,Lyrical Etude-Note Accuracy,Lyrical Etude,Note Accuracy,3
436910,29042,Flute,Lyrical Etude-Rhythmic Accuracy,Lyrical Etude,Rhythmic Accuracy,3
436911,29042,Flute,Lyrical Etude-Artistry,Lyrical Etude,Artistry,0
436912,29042,Flute,"Technical Etude-Musicallity, Tempo & Style",Technical Etude,"Musicallity, Tempo & Style",0
436913,29042,Flute,Technical Etude-Tone Quality,Technical Etude,Tone Quality,0
436914,29042,Flute,Technical Etude-Note Accuracy,Technical Etude,Note Accuracy,0
436915,29042,Flute,Technical Etude-Rhythmic Accuracy,Technical Etude,Rhythmic Accuracy,0
436916,29042,Flute,Technical Etude-Articulation,Technical Etude,Articulation,0
436917,28711,Tuba,"Lyrical Etude-Musicallity, Tempo & Style",Lyrical Etude,"Musicallity, Tempo & Style",11
436918,28711,Tuba,Lyrical Etude-Tone Quality,Lyrical Etude,Tone Quality,8
436919,28711,Tuba,Lyrical Etude-Note Accuracy,Lyrical Etude,Note Accuracy,7
