ScoreID,Student,Instrument,ScoreGroup,Description,Score,RecordingPath
1540143,86022,Tenor Saxophone,Major Scales,Bb,4,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86022.mp3
1540144,86022,Tenor Saxophone,Major Scales,Eb,4,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86022.mp3
1540145,86022,Tenor Saxophone,Major Scales,Ab,4,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86022.mp3
1540146,86022,Tenor Saxophone,Major Scales,Db,2,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86022.mp3
1540147,86022,Tenor Saxophone,Sight-Reading,Tone Quality,3,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86022.mp3
1540148,86022,Tenor Saxophone,Sight-Reading,Note Accuracy,7,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86022.mp3
1540149,86022,Tenor Saxophone,Sight-Reading,Rhythmic Accuracy,5,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86022.mp3
1540150,86022,Tenor Saxophone,Sight-Reading,"Musicallity, Tempo & Style",3,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86022.mp3
1482854,86024,Flute,Lyrical Etude,Tone Quality,8,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86024.mp3
1482855,86024,Flute,Lyrical Etude,Note Accuracy,9,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86024.mp3
1482856,86024,Flute,Lyrical Etude,Rhythmic Accuracy,7,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86024.mp3
1482860,86024,Flute,Lyrical Etude,"Musicallity, Tempo & Style",10,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86024.mp3
1482861,86024,Flute,Technical Etude,Tone Quality,9,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86024.mp3
1482862,86024,Flute,Technical Etude,Note Accuracy,7,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86024.mp3
1482863,86024,Flute,Technical Etude,Rhythmic Accuracy,6,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86024.mp3
1482864,86024,Flute,Technical Etude,"Musicality, Tempo & Style",9,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86024.mp3
1482866,86024,Flute,Chromatic Scale,Chromatic Scale,6,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86024.mp3
1482872,86024,Flute,Major Scales,G,6,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86024.mp3
1482873,86024,Flute,Major Scales,C,6,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86024.mp3
1482874,86024,Flute,Major Scales,F,5,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86024.mp3
1482875,86024,Flute,Major Scales,Bb,5,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86024.mp3
1482879,86024,Flute,Major Scales,Eb,5,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86024.mp3
1482880,86024,Flute,Major Scales,Ab,6,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86024.mp3
1482881,86024,Flute,Major Scales,Db,5,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86024.mp3
1482928,86024,Flute,Sight-Reading,Tone Quality,6,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86024.mp3
1482929,86024,Flute,Sight-Reading,Note Accuracy,5,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86024.mp3
1482930,86024,Flute,Sight-Reading,Rhythmic Accuracy,3,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86024.mp3
1482931,86024,Flute,Sight-Reading,"Musicallity, Tempo & Style",8,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86024.mp3
1538818,86025,Oboe,Lyrical Etude,Tone Quality,0,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86025.mp3
1538819,86025,Oboe,Lyrical Etude,Note Accuracy,0,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86025.mp3
1538820,86025,Oboe,Lyrical Etude,Rhythmic Accuracy,0,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86025.mp3
1538821,86025,Oboe,Lyrical Etude,"Musicallity, Tempo & Style",0,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86025.mp3
1538822,86025,Oboe,Technical Etude,Tone Quality,0,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86025.mp3
1538823,86025,Oboe,Technical Etude,Note Accuracy,0,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86025.mp3
1538824,86025,Oboe,Technical Etude,Rhythmic Accuracy,0,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86025.mp3
1538825,86025,Oboe,Technical Etude,"Musicality, Tempo & Style",0,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86025.mp3
1538916,86025,Oboe,Chromatic Scale,Chromatic Scale,3,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86025.mp3
1538826,86025,Oboe,Major Scales,G,2,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86025.mp3
1538827,86025,Oboe,Major Scales,C,0,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86025.mp3
1538828,86025,Oboe,Major Scales,F,3,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86025.mp3
1538829,86025,Oboe,Major Scales,Bb,0,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86025.mp3
1538830,86025,Oboe,Major Scales,Eb,2,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86025.mp3
1538831,86025,Oboe,Major Scales,Ab,0,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86025.mp3
1538832,86025,Oboe,Major Scales,Db,0,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86025.mp3
1538833,86025,Oboe,Sight-Reading,Tone Quality,1,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86025.mp3
1538834,86025,Oboe,Sight-Reading,Note Accuracy,1,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86025.mp3
1538835,86025,Oboe,Sight-Reading,Rhythmic Accuracy,1,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86025.mp3
1538836,86025,Oboe,Sight-Reading,"Musicallity, Tempo & Style",1,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86025.mp3
1453983,86026,Bb Clarinet,Lyrical Etude,Tone Quality,19,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86026.mp3
1453984,86026,Bb Clarinet,Lyrical Etude,Note Accuracy,10,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86026.mp3
1453985,86026,Bb Clarinet,Lyrical Etude,Rhythmic Accuracy,10,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86026.mp3
1453986,86026,Bb Clarinet,Lyrical Etude,"Musicallity, Tempo & Style",19,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86026.mp3
1453987,86026,Bb Clarinet,Technical Etude,Tone Quality,18,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86026.mp3
1453988,86026,Bb Clarinet,Technical Etude,Note Accuracy,9,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86026.mp3
1453989,86026,Bb Clarinet,Technical Etude,Rhythmic Accuracy,10,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86026.mp3
1453990,86026,Bb Clarinet,Technical Etude,"Musicality, Tempo & Style",18,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86026.mp3
1454017,86026,Bb Clarinet,Chromatic Scale,Chromatic Scale,14,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86026.mp3
1454018,86026,Bb Clarinet,Major Scales,G,9,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86026.mp3
1454019,86026,Bb Clarinet,Major Scales,C,10,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86026.mp3
1454020,86026,Bb Clarinet,Major Scales,F,10,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86026.mp3
1454021,86026,Bb Clarinet,Major Scales,Bb,10,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86026.mp3
1454022,86026,Bb Clarinet,Major Scales,Eb,14,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86026.mp3
1454026,86026,Bb Clarinet,Major Scales,Ab,10,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86026.mp3
1454027,86026,Bb Clarinet,Major Scales,Db,9,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86026.mp3
1454037,86026,Bb Clarinet,Sight-Reading,Tone Quality,9,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86026.mp3
1454038,86026,Bb Clarinet,Sight-Reading,Note Accuracy,7,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86026.mp3
1454039,86026,Bb Clarinet,Sight-Reading,Rhythmic Accuracy,6,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86026.mp3
1454040,86026,Bb Clarinet,Sight-Reading,"Musicallity, Tempo & Style",6,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86026.mp3
1499835,86027,Tuba,Lyrical Etude,Tone Quality,11,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86027.mp3
1499836,86027,Tuba,Lyrical Etude,Note Accuracy,7,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86027.mp3
1499837,86027,Tuba,Lyrical Etude,Rhythmic Accuracy,7,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86027.mp3
1499838,86027,Tuba,Lyrical Etude,"Musicallity, Tempo & Style",10,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86027.mp3
1499839,86027,Tuba,Technical Etude,Tone Quality,11,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86027.mp3
1499840,86027,Tuba,Technical Etude,Note Accuracy,7,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86027.mp3
1499841,86027,Tuba,Technical Etude,Rhythmic Accuracy,7,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86027.mp3
1499842,86027,Tuba,Technical Etude,"Musicality, Tempo & Style",12,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86027.mp3
1499843,86027,Tuba,Chromatic Scale,Chromatic Scale,10,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86027.mp3
1499844,86027,Tuba,Major Scales,G,6,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86027.mp3
1499845,86027,Tuba,Major Scales,C,7,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86027.mp3
1499846,86027,Tuba,Major Scales,F,6,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86027.mp3
1499847,86027,Tuba,Major Scales,Bb,6,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86027.mp3
1499848,86027,Tuba,Major Scales,Eb,12,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86027.mp3
1499849,86027,Tuba,Major Scales,Ab,6,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86027.mp3
1499850,86027,Tuba,Major Scales,Db,7,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86027.mp3
1499851,86027,Tuba,Sight-Reading,Tone Quality,5,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86027.mp3
1499852,86027,Tuba,Sight-Reading,Note Accuracy,5,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86027.mp3
1499853,86027,Tuba,Sight-Reading,Rhythmic Accuracy,3,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86027.mp3
1499854,86027,Tuba,Sight-Reading,"Musicallity, Tempo & Style",3,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86027.mp3
1459045,86028,Bassoon,Lyrical Etude,Tone Quality,20,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86028.mp3
1459046,86028,Bassoon,Lyrical Etude,Note Accuracy,10,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86028.mp3
1459047,86028,Bassoon,Lyrical Etude,Rhythmic Accuracy,10,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86028.mp3
1459048,86028,Bassoon,Lyrical Etude,"Musicallity, Tempo & Style",18,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86028.mp3
1459049,86028,Bassoon,Technical Etude,Tone Quality,20,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86028.mp3
1459050,86028,Bassoon,Technical Etude,Note Accuracy,9,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86028.mp3
1459051,86028,Bassoon,Technical Etude,Rhythmic Accuracy,9,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86028.mp3
1459052,86028,Bassoon,Technical Etude,"Musicality, Tempo & Style",18,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86028.mp3
1459053,86028,Bassoon,Chromatic Scale,Chromatic Scale,15,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86028.mp3
1459054,86028,Bassoon,Major Scales,G,10,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86028.mp3
1459055,86028,Bassoon,Major Scales,C,15,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86028.mp3
1459056,86028,Bassoon,Major Scales,F,10,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86028.mp3
1459057,86028,Bassoon,Major Scales,Bb,15,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86028.mp3
1459058,86028,Bassoon,Major Scales,Eb,15,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86028.mp3
1459059,86028,Bassoon,Major Scales,Ab,10,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86028.mp3
1459060,86028,Bassoon,Major Scales,Db,15,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86028.mp3
1459061,86028,Bassoon,Sight-Reading,Tone Quality,10,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86028.mp3
1459062,86028,Bassoon,Sight-Reading,Note Accuracy,9,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86028.mp3
1459063,86028,Bassoon,Sight-Reading,Rhythmic Accuracy,9,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86028.mp3
1459064,86028,Bassoon,Sight-Reading,"Musicallity, Tempo & Style",9,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86028.mp3
1483025,86035,Flute,Lyrical Etude,Tone Quality,14,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86035.mp3
1483026,86035,Flute,Lyrical Etude,Note Accuracy,9,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86035.mp3
1483028,86035,Flute,Lyrical Etude,Rhythmic Accuracy,9,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86035.mp3
1483027,86035,Flute,Lyrical Etude,"Musicallity, Tempo & Style",13,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86035.mp3
1483030,86035,Flute,Technical Etude,Tone Quality,15,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86035.mp3
1483031,86035,Flute,Technical Etude,Note Accuracy,10,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86035.mp3
1483032,86035,Flute,Technical Etude,Rhythmic Accuracy,9,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86035.mp3
1483039,86035,Flute,Technical Etude,"Musicality, Tempo & Style",14,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86035.mp3
1483040,86035,Flute,Chromatic Scale,Chromatic Scale,13,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86035.mp3
1483042,86035,Flute,Major Scales,G,10,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86035.mp3
1483049,86035,Flute,Major Scales,C,14,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86035.mp3
1483050,86035,Flute,Major Scales,F,10,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86035.mp3
1483051,86035,Flute,Major Scales,Bb,9,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86035.mp3
1483058,86035,Flute,Major Scales,Eb,10,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86035.mp3
1483059,86035,Flute,Major Scales,Ab,9,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86035.mp3
1483060,86035,Flute,Major Scales,Db,8,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86035.mp3
1483061,86035,Flute,Sight-Reading,Tone Quality,8,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86035.mp3
1483067,86035,Flute,Sight-Reading,Note Accuracy,8,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86035.mp3
1483068,86035,Flute,Sight-Reading,Rhythmic Accuracy,7,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86035.mp3
1483069,86035,Flute,Sight-Reading,"Musicallity, Tempo & Style",7,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86035.mp3
1551637,86036,Bass Clarinet,Lyrical Etude,Tone Quality,9,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86036.mp3
1551638,86036,Bass Clarinet,Lyrical Etude,Note Accuracy,8,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86036.mp3
1551639,86036,Bass Clarinet,Lyrical Etude,Rhythmic Accuracy,9,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86036.mp3
1551640,86036,Bass Clarinet,Lyrical Etude,"Musicallity, Tempo & Style",10,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86036.mp3
1551641,86036,Bass Clarinet,Technical Etude,Tone Quality,9,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86036.mp3
1551642,86036,Bass Clarinet,Technical Etude,Note Accuracy,9,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86036.mp3
1551643,86036,Bass Clarinet,Technical Etude,Rhythmic Accuracy,9,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86036.mp3
1551644,86036,Bass Clarinet,Technical Etude,"Musicality, Tempo & Style",8,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86036.mp3
1551645,86036,Bass Clarinet,Chromatic Scale,Chromatic Scale,11,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86036.mp3
1551646,86036,Bass Clarinet,Major Scales,G,8,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86036.mp3
1551647,86036,Bass Clarinet,Major Scales,C,7,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86036.mp3
1551648,86036,Bass Clarinet,Major Scales,F,7,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86036.mp3
1551649,86036,Bass Clarinet,Major Scales,Bb,7,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86036.mp3
1551650,86036,Bass Clarinet,Major Scales,Eb,7,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86036.mp3
1551655,86036,Bass Clarinet,Major Scales,Ab,7,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86036.mp3
1551656,86036,Bass Clarinet,Major Scales,Db,6,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86036.mp3
1551661,86036,Bass Clarinet,Sight-Reading,Tone Quality,4,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86036.mp3
1551662,86036,Bass Clarinet,Sight-Reading,Note Accuracy,6,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86036.mp3
1551663,86036,Bass Clarinet,Sight-Reading,Rhythmic Accuracy,4,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86036.mp3
1551664,86036,Bass Clarinet,Sight-Reading,"Musicallity, Tempo & Style",3,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86036.mp3
1451859,86037,Percussion,Mallet Etude,Note Accuracy & Tone,6,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86037.mp3
1451860,86037,Percussion,Mallet Etude,Rhythmic Accuracy,5,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86037.mp3
1451861,86037,Percussion,Mallet Etude,"Musicality, Tempo, & Style",5,https://flmusiced.org/mpaonline/AudioFiles/2018-2019/AllStateAuditions/86037.mp3
