ScoreID,Student,Instrument,ScoreGroup,Description,Score
854282,51338,Oboe,Lyrical Etude,Note Accuracy,1
854283,51338,Oboe,Lyrical Etude,Rhythmic Accuracy,2
854284,51338,Oboe,Lyrical Etude,"Musicallity, Tempo & Style",0
854285,51338,Oboe,Technical Etude,Tone Quality,2
854286,51338,Oboe,Technical Etude,Note Accuracy,0
854287,51338,Oboe,Technical Etude,Rhythmic Accuracy,2
854288,51338,Oboe,Technical Etude,"Musicality, Tempo & Style",2
854289,51338,Oboe,Chromatic Scale,Chromatic Scale,1
935608,51338,Oboe,Major Scales,G,0
935609,51338,Oboe,Major Scales,C,0
935610,51338,Oboe,Major Scales,F,0
935611,51338,Oboe,Major Scales,Bb,0
935612,51338,Oboe,Major Scales,Eb,0
935613,51338,Oboe,Major Scales,Ab,0
935614,51338,Oboe,Major Scales,Db,0
935615,51338,Oboe,Sight-Reading,Tone Quality,0
935616,51338,Oboe,Sight-Reading,Note Accuracy,0
935617,51338,Oboe,Sight-Reading,Rhythmic Accuracy,0
935618,51338,Oboe,Sight-Reading,"Musicallity, Tempo & Style",0
855819,51356,Bb Clarinet,Lyrical Etude,Tone Quality,10
855820,51356,Bb Clarinet,Lyrical Etude,Note Accuracy,9
855821,51356,Bb Clarinet,Lyrical Etude,Rhythmic Accuracy,10
855822,51356,Bb Clarinet,Lyrical Etude,"Musicallity, Tempo & Style",10
855823,51356,Bb Clarinet,Technical Etude,Tone Quality,7
855824,51356,Bb Clarinet,Technical Etude,Note Accuracy,5
855825,51356,Bb Clarinet,Technical Etude,Rhythmic Accuracy,2
855826,51356,Bb Clarinet,Technical Etude,"Musicality, Tempo & Style",1
854448,51356,Bb Clarinet,Chromatic Scale,Chromatic Scale,3
854449,51356,Bb Clarinet,Major Scales,G,0
854450,51356,Bb Clarinet,Major Scales,C,0
854451,51356,Bb Clarinet,Major Scales,F,0
854452,51356,Bb Clarinet,Major Scales,Bb,0
854453,51356,Bb Clarinet,Major Scales,Eb,0
854454,51356,Bb Clarinet,Major Scales,Ab,0
854455,51356,Bb Clarinet,Major Scales,Db,0
854456,51356,Bb Clarinet,Sight-Reading,Tone Quality,1
854457,51356,Bb Clarinet,Sight-Reading,Note Accuracy,1
854458,51356,Bb Clarinet,Sight-Reading,Rhythmic Accuracy,0
854459,51356,Bb Clarinet,Sight-Reading,"Musicallity, Tempo & Style",0
934479,51362,Oboe,Lyrical Etude,Tone Quality,10
934480,51362,Oboe,Lyrical Etude,Note Accuracy,5
934481,51362,Oboe,Lyrical Etude,Rhythmic Accuracy,5
934482,51362,Oboe,Lyrical Etude,"Musicallity, Tempo & Style",5
934483,51362,Oboe,Technical Etude,Tone Quality,8
934484,51362,Oboe,Technical Etude,Note Accuracy,0
934485,51362,Oboe,Technical Etude,Rhythmic Accuracy,0
934486,51362,Oboe,Technical Etude,"Musicality, Tempo & Style",5
934487,51362,Oboe,Chromatic Scale,Chromatic Scale,5
934488,51362,Oboe,Major Scales,G,3
934489,51362,Oboe,Major Scales,C,5
934490,51362,Oboe,Major Scales,F,3
934491,51362,Oboe,Major Scales,Bb,5
934492,51362,Oboe,Major Scales,Eb,3
934493,51362,Oboe,Major Scales,Ab,3
934494,51362,Oboe,Major Scales,Db,5
934495,51362,Oboe,Sight-Reading,Tone Quality,2
934496,51362,Oboe,Sight-Reading,Note Accuracy,2
934497,51362,Oboe,Sight-Reading,Rhythmic Accuracy,2
934498,51362,Oboe,Sight-Reading,"Musicallity, Tempo & Style",0
885776,51366,Alto Saxophone,Lyrical Etude,Tone Quality,12
885777,51366,Alto Saxophone,Lyrical Etude,Note Accuracy,10
885778,51366,Alto Saxophone,Lyrical Etude,Rhythmic Accuracy,10
885779,51366,Alto Saxophone,Lyrical Etude,"Musicallity, Tempo & Style",11
885780,51366,Alto Saxophone,Technical Etude,Tone Quality,12
885781,51366,Alto Saxophone,Technical Etude,Note Accuracy,10
885782,51366,Alto Saxophone,Technical Etude,Rhythmic Accuracy,8
885783,51366,Alto Saxophone,Technical Etude,"Musicality, Tempo & Style",10
885784,51366,Alto Saxophone,Chromatic Scale,Chromatic Scale,12
885785,51366,Alto Saxophone,Major Scales,G,9
885786,51366,Alto Saxophone,Major Scales,C,4
885787,51366,Alto Saxophone,Major Scales,F,9
885788,51366,Alto Saxophone,Major Scales,Bb,4
885789,51366,Alto Saxophone,Major Scales,Eb,9
885790,51366,Alto Saxophone,Major Scales,Ab,10
885791,51366,Alto Saxophone,Major Scales,Db,9
885792,51366,Alto Saxophone,Sight-Reading,Tone Quality,8
885793,51366,Alto Saxophone,Sight-Reading,Note Accuracy,9
885794,51366,Alto Saxophone,Sight-Reading,Rhythmic Accuracy,9
885795,51366,Alto Saxophone,Sight-Reading,"Musicallity, Tempo & Style",7
928058,51367,Bass Clarinet,Lyrical Etude,Tone Quality,16
928059,51367,Bass Clarinet,Lyrical Etude,Note Accuracy,10
928060,51367,Bass Clarinet,Lyrical Etude,Rhythmic Accuracy,9
928061,51367,Bass Clarinet,Lyrical Etude,"Musicallity, Tempo & Style",17
928062,51367,Bass Clarinet,Technical Etude,Tone Quality,16
928063,51367,Bass Clarinet,Technical Etude,Note Accuracy,10
928064,51367,Bass Clarinet,Technical Etude,Rhythmic Accuracy,10
928065,51367,Bass Clarinet,Technical Etude,"Musicality, Tempo & Style",16
928066,51367,Bass Clarinet,Chromatic Scale,Chromatic Scale,10
928067,51367,Bass Clarinet,Major Scales,G,5
928068,51367,Bass Clarinet,Major Scales,C,5
928069,51367,Bass Clarinet,Major Scales,F,9
928070,51367,Bass Clarinet,Major Scales,Bb,5
928071,51367,Bass Clarinet,Major Scales,Eb,10
928072,51367,Bass Clarinet,Major Scales,Ab,10
928073,51367,Bass Clarinet,Major Scales,Db,9
928074,51367,Bass Clarinet,Sight-Reading,Tone Quality,7
928075,51367,Bass Clarinet,Sight-Reading,Note Accuracy,7
928076,51367,Bass Clarinet,Sight-Reading,Rhythmic Accuracy,2
928077,51367,Bass Clarinet,Sight-Reading,"Musicallity, Tempo & Style",0
860337,51368,Flute,Lyrical Etude,Tone Quality,14
860338,51368,Flute,Lyrical Etude,Note Accuracy,10
860339,51368,Flute,Lyrical Etude,Rhythmic Accuracy,8
860340,51368,Flute,Lyrical Etude,"Musicallity, Tempo & Style",8
860341,51368,Flute,Technical Etude,Tone Quality,14
860342,51368,Flute,Technical Etude,Note Accuracy,4
860343,51368,Flute,Technical Etude,Rhythmic Accuracy,8
860344,51368,Flute,Technical Etude,"Musicality, Tempo & Style",5
860345,51368,Flute,Chromatic Scale,Chromatic Scale,6
860359,51368,Flute,Major Scales,G,6
860360,51368,Flute,Major Scales,C,6
860361,51368,Flute,Major Scales,F,7
860362,51368,Flute,Major Scales,Bb,5
860363,51368,Flute,Major Scales,Eb,3
860364,51368,Flute,Major Scales,Ab,2
860365,51368,Flute,Major Scales,Db,4
860366,51368,Flute,Sight-Reading,Tone Quality,7
860367,51368,Flute,Sight-Reading,Note Accuracy,6
860368,51368,Flute,Sight-Reading,Rhythmic Accuracy,3
860369,51368,Flute,Sight-Reading,"Musicallity, Tempo & Style",3
850688,51369,Percussion,Mallet Etude,Note Accuracy & Tone,8
850689,51369,Percussion,Mallet Etude,Rhythmic Accuracy,9
850690,51369,Percussion,Mallet Etude,"Musicality, Tempo, & Style",16
850691,51369,Percussion,Snare Etude,Rudimental Accuracy,9
850692,51369,Percussion,Snare Etude,Rhythmic Accuracy,9
850693,51369,Percussion,Snare Etude,"Musicality, Tempo, & Style",19
850694,51369,Percussion,Timpani Etude,Tuning Accuracy,9
850695,51369,Percussion,Timpani Etude,Rhythmic Accuracy,9
850696,51369,Percussion,Timpani Etude,"Musicality, Tempo, & Style",13
850697,51369,Percussion,Chromatic Scale,Chromatic Scale,7
850698,51369,Percussion,Major Scales,G,7
850699,51369,Percussion,Major Scales,C,6
850700,51369,Percussion,Major Scales,F,8
850701,51369,Percussion,Major Scales,Bb,7
850702,51369,Percussion,Major Scales,Eb,7
850703,51369,Percussion,Major Scales,Ab,7
850704,51369,Percussion,Major Scales,Db,7
850705,51369,Percussion,Reading-Mallet,Note Accuracy & Tone,6
850706,51369,Percussion,Reading-Mallet,Rhythmic Accuracy,8
850707,51369,Percussion,Reading-Mallet,"Musicality, Tempo & Style",6
850708,51369,Percussion,Reading-Snare,Note Accuracy & Tone,4
850709,51369,Percussion,Reading-Snare,Rhythmic Accuracy,6
850710,51369,Percussion,Reading-Snare,"Musicality, Tempo, & Style",7
860370,51371,Flute,Lyrical Etude,Tone Quality,12
860371,51371,Flute,Lyrical Etude,Note Accuracy,6
860372,51371,Flute,Lyrical Etude,Rhythmic Accuracy,7
860373,51371,Flute,Lyrical Etude,"Musicallity, Tempo & Style",8
860374,51371,Flute,Technical Etude,Tone Quality,7
860375,51371,Flute,Technical Etude,Note Accuracy,4
860376,51371,Flute,Technical Etude,Rhythmic Accuracy,4
860377,51371,Flute,Technical Etude,"Musicality, Tempo & Style",6
860378,51371,Flute,Chromatic Scale,Chromatic Scale,3
860379,51371,Flute,Major Scales,G,6
860380,51371,Flute,Major Scales,C,6
860381,51371,Flute,Major Scales,F,7
860382,51371,Flute,Major Scales,Bb,5
860383,51371,Flute,Major Scales,Eb,6
860384,51371,Flute,Major Scales,Ab,5
860385,51371,Flute,Major Scales,Db,6
860386,51371,Flute,Sight-Reading,Tone Quality,4
860387,51371,Flute,Sight-Reading,Note Accuracy,8
860388,51371,Flute,Sight-Reading,Rhythmic Accuracy,4
860389,51371,Flute,Sight-Reading,"Musicallity, Tempo & Style",3
928409,51374,Bass Clarinet,Lyrical Etude,Tone Quality,16
928410,51374,Bass Clarinet,Lyrical Etude,Note Accuracy,8
928411,51374,Bass Clarinet,Lyrical Etude,Rhythmic Accuracy,8
928412,51374,Bass Clarinet,Lyrical Etude,"Musicallity, Tempo & Style",15
928413,51374,Bass Clarinet,Technical Etude,Tone Quality,14
928414,51374,Bass Clarinet,Technical Etude,Note Accuracy,9
928415,51374,Bass Clarinet,Technical Etude,Rhythmic Accuracy,6
928416,51374,Bass Clarinet,Technical Etude,"Musicality, Tempo & Style",12
928417,51374,Bass Clarinet,Chromatic Scale,Chromatic Scale,14
928418,51374,Bass Clarinet,Major Scales,G,4
928419,51374,Bass Clarinet,Major Scales,C,3
928420,51374,Bass Clarinet,Major Scales,F,5
928421,51374,Bass Clarinet,Major Scales,Bb,9
928422,51374,Bass Clarinet,Major Scales,Eb,1
928423,51374,Bass Clarinet,Major Scales,Ab,2
928424,51374,Bass Clarinet,Major Scales,Db,0
928425,51374,Bass Clarinet,Sight-Reading,Tone Quality,6
928426,51374,Bass Clarinet,Sight-Reading,Note Accuracy,8
928427,51374,Bass Clarinet,Sight-Reading,Rhythmic Accuracy,2
928428,51374,Bass Clarinet,Sight-Reading,"Musicallity, Tempo & Style",0
855827,51375,Bb Clarinet,Lyrical Etude,Tone Quality,3
855828,51375,Bb Clarinet,Lyrical Etude,Note Accuracy,9
855829,51375,Bb Clarinet,Lyrical Etude,Rhythmic Accuracy,1
855830,51375,Bb Clarinet,Lyrical Etude,"Musicallity, Tempo & Style",3
855831,51375,Bb Clarinet,Technical Etude,Tone Quality,3
855832,51375,Bb Clarinet,Technical Etude,Note Accuracy,8
855833,51375,Bb Clarinet,Technical Etude,Rhythmic Accuracy,6
855834,51375,Bb Clarinet,Technical Etude,"Musicality, Tempo & Style",1
854460,51375,Bb Clarinet,Chromatic Scale,Chromatic Scale,8
854461,51375,Bb Clarinet,Major Scales,G,6
854462,51375,Bb Clarinet,Major Scales,C,6
854463,51375,Bb Clarinet,Major Scales,F,8
854464,51375,Bb Clarinet,Major Scales,Bb,8
854465,51375,Bb Clarinet,Major Scales,Eb,8
854466,51375,Bb Clarinet,Major Scales,Ab,8
854467,51375,Bb Clarinet,Major Scales,Db,2
854468,51375,Bb Clarinet,Sight-Reading,Tone Quality,5
854469,51375,Bb Clarinet,Sight-Reading,Note Accuracy,5
854470,51375,Bb Clarinet,Sight-Reading,Rhythmic Accuracy,4
854471,51375,Bb Clarinet,Sight-Reading,"Musicallity, Tempo & Style",1
850803,51376,Trumpet,Lyrical Etude,Tone Quality,14
850804,51376,Trumpet,Lyrical Etude,Note Accuracy,8
850805,51376,Trumpet,Lyrical Etude,Rhythmic Accuracy,10
850806,51376,Trumpet,Lyrical Etude,"Musicallity, Tempo & Style",14
850807,51376,Trumpet,Technical Etude,Tone Quality,14
850808,51376,Trumpet,Technical Etude,Note Accuracy,9
850809,51376,Trumpet,Technical Etude,Rhythmic Accuracy,9
850810,51376,Trumpet,Technical Etude,"Musicality, Tempo & Style",16
850811,51376,Trumpet,Chromatic Scale,Chromatic Scale,8
850812,51376,Trumpet,Major Scales,G,10
850813,51376,Trumpet,Major Scales,C,8
850814,51376,Trumpet,Major Scales,F,9
850815,51376,Trumpet,Major Scales,Bb,10
850816,51376,Trumpet,Major Scales,Eb,9
850817,51376,Trumpet,Major Scales,Ab,9
850818,51376,Trumpet,Major Scales,Db,9
850819,51376,Trumpet,Sight-Reading,Tone Quality,7
850820,51376,Trumpet,Sight-Reading,Note Accuracy,7
850821,51376,Trumpet,Sight-Reading,Rhythmic Accuracy,7
850822,51376,Trumpet,Sight-Reading,"Musicallity, Tempo & Style",7
850823,51379,Trumpet,Lyrical Etude,Tone Quality,9
850824,51379,Trumpet,Lyrical Etude,Note Accuracy,9
850825,51379,Trumpet,Lyrical Etude,Rhythmic Accuracy,10
850826,51379,Trumpet,Lyrical Etude,"Musicallity, Tempo & Style",8
850827,51379,Trumpet,Technical Etude,Tone Quality,9
850828,51379,Trumpet,Technical Etude,Note Accuracy,9
850829,51379,Trumpet,Technical Etude,Rhythmic Accuracy,10
850830,51379,Trumpet,Technical Etude,"Musicality, Tempo & Style",12
850831,51379,Trumpet,Chromatic Scale,Chromatic Scale,10
850832,51379,Trumpet,Major Scales,G,9
850833,51379,Trumpet,Major Scales,C,5
850834,51379,Trumpet,Major Scales,F,9
850835,51379,Trumpet,Major Scales,Bb,8
850836,51379,Trumpet,Major Scales,Eb,4
850837,51379,Trumpet,Major Scales,Ab,8
850838,51379,Trumpet,Major Scales,Db,4
850839,51379,Trumpet,Sight-Reading,Tone Quality,4
850840,51379,Trumpet,Sight-Reading,Note Accuracy,5
850841,51379,Trumpet,Sight-Reading,Rhythmic Accuracy,4
850842,51379,Trumpet,Sight-Reading,"Musicallity, Tempo & Style",4
850711,51400,Percussion,Mallet Etude,Note Accuracy & Tone,8
850712,51400,Percussion,Mallet Etude,Rhythmic Accuracy,8
850713,51400,Percussion,Mallet Etude,"Musicality, Tempo, & Style",15
850714,51400,Percussion,Snare Etude,Rudimental Accuracy,6
850715,51400,Percussion,Snare Etude,Rhythmic Accuracy,6
850716,51400,Percussion,Snare Etude,"Musicality, Tempo, & Style",12
850717,51400,Percussion,Timpani Etude,Tuning Accuracy,6
850718,51400,Percussion,Timpani Etude,Rhythmic Accuracy,5
850719,51400,Percussion,Timpani Etude,"Musicality, Tempo, & Style",9
850720,51400,Percussion,Chromatic Scale,Chromatic Scale,6
850721,51400,Percussion,Major Scales,G,7
850722,51400,Percussion,Major Scales,C,8
850723,51400,Percussion,Major Scales,F,8
850724,51400,Percussion,Major Scales,Bb,8
850725,51400,Percussion,Major Scales,Eb,7
850726,51400,Percussion,Major Scales,Ab,7
850727,51400,Percussion,Major Scales,Db,7
850728,51400,Percussion,Reading-Mallet,Note Accuracy & Tone,4
850729,51400,Percussion,Reading-Mallet,Rhythmic Accuracy,4
850730,51400,Percussion,Reading-Mallet,"Musicality, Tempo & Style",3
850731,51400,Percussion,Reading-Snare,Note Accuracy & Tone,3
850732,51400,Percussion,Reading-Snare,Rhythmic Accuracy,3
850733,51400,Percussion,Reading-Snare,"Musicality, Tempo, & Style",2
864352,51401,Euphonium,Lyrical Etude,Tone Quality,8
864353,51401,Euphonium,Lyrical Etude,Note Accuracy,7
864354,51401,Euphonium,Lyrical Etude,Rhythmic Accuracy,7
864355,51401,Euphonium,Lyrical Etude,"Musicallity, Tempo & Style",9
864356,51401,Euphonium,Technical Etude,Tone Quality,6
864357,51401,Euphonium,Technical Etude,Note Accuracy,5
864358,51401,Euphonium,Technical Etude,Rhythmic Accuracy,5
864359,51401,Euphonium,Technical Etude,"Musicality, Tempo & Style",6
864360,51401,Euphonium,Chromatic Scale,Chromatic Scale,6
864361,51401,Euphonium,Major Scales,G,2
864362,51401,Euphonium,Major Scales,C,2
864363,51401,Euphonium,Major Scales,F,5
864364,51401,Euphonium,Major Scales,Bb,2
864365,51401,Euphonium,Major Scales,Eb,2
864366,51401,Euphonium,Major Scales,Ab,2
864367,51401,Euphonium,Major Scales,Db,2
864368,51401,Euphonium,Sight-Reading,Tone Quality,3
864369,51401,Euphonium,Sight-Reading,Note Accuracy,3
864370,51401,Euphonium,Sight-Reading,Rhythmic Accuracy,3
864371,51401,Euphonium,Sight-Reading,"Musicallity, Tempo & Style",2
934515,51403,Oboe,Lyrical Etude,Tone Quality,16
934516,51403,Oboe,Lyrical Etude,Note Accuracy,8
