ScoreID,Student,Instrument,CategoryNew,ScoreGroup,Description,Score,MaxScore,NormalizedScore
436452,28607,Flute,"Lyrical Etude-Musicallity, Tempo & Style",Lyrical Etude,"Musicality, Tempo, & Style",16,20.0,0.8
436453,28607,Flute,Lyrical Etude-Tone Quality,Lyrical Etude,Tone Quality,7,15.0,0.4666666666666667
436454,28607,Flute,Lyrical Etude-Note Accuracy,Lyrical Etude,Note Accuracy,9,10.0,0.9
436455,28607,Flute,Lyrical Etude-Rhythmic Accuracy,Lyrical Etude,Rhythmic Accuracy,10,10.0,1.0
436457,28607,Flute,"Technical Etude-Musicallity, Tempo & Style",Technical Etude,"Musicality, Tempo, & Style",16,20.0,0.8
436458,28607,Flute,Technical Etude-Tone Quality,Technical Etude,Tone Quality,6,15.0,0.4
436459,28607,Flute,Technical Etude-Note Accuracy,Technical Etude,Note Accuracy,9,10.0,0.9
436460,28607,Flute,Technical Etude-Rhythmic Accuracy,Technical Etude,Rhythmic Accuracy,7,10.0,0.7
436493,28607,Flute,Scales-Chromatic,Chromatic Scale,Chromatic Scale,9,15.0,0.6
436494,28607,Flute,Scales-G,Major Scales,G,5,8.0,0.625
436495,28607,Flute,Scales-C,Major Scales,C,6,8.0,0.75
436496,28607,Flute,Scales-F,Major Scales,F,5,8.0,0.625
436497,28607,Flute,Scales-Bb,Major Scales,Bb,5,8.0,0.625
436498,28607,Flute,Scales-Eb,Major Scales,Eb,4,8.0,0.5
436500,28607,Flute,Scales-Ab,Major Scales,Ab,5,8.0,0.625
436501,28607,Flute,Scales-Db,Major Scales,Db,6,8.0,0.75
436535,28607,Flute,Sight-Reading-Note Accuracy,Sight-Reading,Note Accuracy,6,10.0,0.6
436536,28607,Flute,Sight-Reading-Rhythmic Accuracy,Sight-Reading,Rhythmic Accuracy,4,10.0,0.4
436537,28607,Flute,"Sight-Reading-Musicallity, Tempo & Style",Sight-Reading,"Musicality, Tempo, & Style",3,10.0,0.3
436538,28607,Flute,Sight-Reading-Tone Quality,Sight-Reading,Tone Quality,3,5.0,0.6
436540,28891,Flute,"Lyrical Etude-Musicallity, Tempo & Style",Lyrical Etude,"Musicality, Tempo, & Style",14,20.0,0.7
436541,28891,Flute,Lyrical Etude-Tone Quality,Lyrical Etude,Tone Quality,11,15.0,0.7333333333333333
436542,28891,Flute,Lyrical Etude-Note Accuracy,Lyrical Etude,Note Accuracy,9,10.0,0.9
436543,28891,Flute,Lyrical Etude-Rhythmic Accuracy,Lyrical Etude,Rhythmic Accuracy,9,10.0,0.9
436576,28891,Flute,"Technical Etude-Musicallity, Tempo & Style",Technical Etude,"Musicality, Tempo, & Style",10,20.0,0.5
436577,28891,Flute,Technical Etude-Tone Quality,Technical Etude,Tone Quality,10,15.0,0.6666666666666666
436578,28891,Flute,Technical Etude-Note Accuracy,Technical Etude,Note Accuracy,6,10.0,0.6
436579,28891,Flute,Technical Etude-Rhythmic Accuracy,Technical Etude,Rhythmic Accuracy,8,10.0,0.8
436581,28891,Flute,Scales-Chromatic,Chromatic Scale,Chromatic Scale,5,15.0,0.3333333333333333
436582,28891,Flute,Scales-G,Major Scales,G,4,8.0,0.5
436583,28891,Flute,Scales-C,Major Scales,C,4,8.0,0.5
436587,28891,Flute,Scales-F,Major Scales,F,4,8.0,0.5
436588,28891,Flute,Scales-Bb,Major Scales,Bb,5,8.0,0.625
436589,28891,Flute,Scales-Eb,Major Scales,Eb,4,8.0,0.5
436590,28891,Flute,Scales-Ab,Major Scales,Ab,4,8.0,0.5
436591,28891,Flute,Scales-Db,Major Scales,Db,4,8.0,0.5
436592,28583,Euphonium,"Lyrical Etude-Musicallity, Tempo & Style",Lyrical Etude,"Musicality, Tempo, & Style",9,20.0,0.45
436593,28583,Euphonium,Lyrical Etude-Tone Quality,Lyrical Etude,Tone Quality,6,15.0,0.4
436594,28583,Euphonium,Lyrical Etude-Note Accuracy,Lyrical Etude,Note Accuracy,7,10.0,0.7
436595,28583,Euphonium,Lyrical Etude-Rhythmic Accuracy,Lyrical Etude,Rhythmic Accuracy,7,10.0,0.7
436597,28583,Euphonium,"Technical Etude-Musicallity, Tempo & Style",Technical Etude,"Musicality, Tempo, & Style",10,20.0,0.5
436598,28583,Euphonium,Technical Etude-Tone Quality,Technical Etude,Tone Quality,6,15.0,0.4
436599,28583,Euphonium,Technical Etude-Note Accuracy,Technical Etude,Note Accuracy,7,10.0,0.7
436600,28583,Euphonium,Technical Etude-Rhythmic Accuracy,Technical Etude,Rhythmic Accuracy,7,10.0,0.7
436602,28583,Euphonium,Scales-Chromatic,Chromatic Scale,Chromatic Scale,7,15.0,0.4666666666666667
436603,28583,Euphonium,Scales-G,Major Scales,G,2,8.0,0.25
436604,28583,Euphonium,Scales-C,Major Scales,C,2,8.0,0.25
436605,28583,Euphonium,Scales-F,Major Scales,F,2,8.0,0.25
436606,28583,Euphonium,Scales-Bb,Major Scales,Bb,0,8.0,0.0
436607,28583,Euphonium,Scales-Eb,Major Scales,Eb,1,8.0,0.125
436608,28583,Euphonium,Scales-Ab,Major Scales,Ab,2,8.0,0.25
436609,28583,Euphonium,Scales-Db,Major Scales,Db,1,8.0,0.125
436613,28583,Euphonium,Sight-Reading-Note Accuracy,Sight-Reading,Note Accuracy,5,10.0,0.5
436614,28583,Euphonium,Sight-Reading-Rhythmic Accuracy,Sight-Reading,Rhythmic Accuracy,4,10.0,0.4
436615,28583,Euphonium,"Sight-Reading-Musicallity, Tempo & Style",Sight-Reading,"Musicality, Tempo, & Style",4,10.0,0.4
436616,28583,Euphonium,Sight-Reading-Tone Quality,Sight-Reading,Tone Quality,2,5.0,0.4
436618,28891,Flute,Sight-Reading-Note Accuracy,Sight-Reading,Note Accuracy,3,10.0,0.3
436619,28891,Flute,Sight-Reading-Rhythmic Accuracy,Sight-Reading,Rhythmic Accuracy,4,10.0,0.4
436620,28891,Flute,"Sight-Reading-Musicallity, Tempo & Style",Sight-Reading,"Musicality, Tempo, & Style",2,10.0,0.2
436621,28891,Flute,Sight-Reading-Tone Quality,Sight-Reading,Tone Quality,2,5.0,0.4
436623,28933,Flute,"Lyrical Etude-Musicallity, Tempo & Style",Lyrical Etude,"Musicality, Tempo, & Style",15,20.0,0.75
436624,28933,Flute,Lyrical Etude-Tone Quality,Lyrical Etude,Tone Quality,9,15.0,0.6
436625,28933,Flute,Lyrical Etude-Note Accuracy,Lyrical Etude,Note Accuracy,10,10.0,1.0
436626,28933,Flute,Lyrical Etude-Rhythmic Accuracy,Lyrical Etude,Rhythmic Accuracy,10,10.0,1.0
436628,28933,Flute,"Technical Etude-Musicallity, Tempo & Style",Technical Etude,"Musicality, Tempo, & Style",14,20.0,0.7
436629,28933,Flute,Technical Etude-Tone Quality,Technical Etude,Tone Quality,9,15.0,0.6
436630,28933,Flute,Technical Etude-Note Accuracy,Technical Etude,Note Accuracy,10,10.0,1.0
436631,28933,Flute,Technical Etude-Rhythmic Accuracy,Technical Etude,Rhythmic Accuracy,9,10.0,0.9
436664,28933,Flute,Scales-Chromatic,Chromatic Scale,Chromatic Scale,12,15.0,0.8
436666,28933,Flute,Scales-G,Major Scales,G,4,8.0,0.5
436667,28933,Flute,Scales-C,Major Scales,C,7,8.0,0.875
436668,28933,Flute,Scales-F,Major Scales,F,4,8.0,0.5
436669,28933,Flute,Scales-Bb,Major Scales,Bb,5,8.0,0.625
436670,28933,Flute,Scales-Eb,Major Scales,Eb,5,8.0,0.625
436671,28933,Flute,Scales-Ab,Major Scales,Ab,4,8.0,0.5
436672,28933,Flute,Scales-Db,Major Scales,Db,5,8.0,0.625
436675,28584,Tuba,"Lyrical Etude-Musicallity, Tempo & Style",Lyrical Etude,"Musicality, Tempo, & Style",12,20.0,0.6
436676,28584,Tuba,Lyrical Etude-Tone Quality,Lyrical Etude,Tone Quality,6,15.0,0.4
436677,28584,Tuba,Lyrical Etude-Note Accuracy,Lyrical Etude,Note Accuracy,7,10.0,0.7
436678,28584,Tuba,Lyrical Etude-Rhythmic Accuracy,Lyrical Etude,Rhythmic Accuracy,7,10.0,0.7
436680,28584,Tuba,"Technical Etude-Musicallity, Tempo & Style",Technical Etude,"Musicality, Tempo, & Style",11,20.0,0.55
436681,28584,Tuba,Technical Etude-Tone Quality,Technical Etude,Tone Quality,6,15.0,0.4
436682,28584,Tuba,Technical Etude-Note Accuracy,Technical Etude,Note Accuracy,7,10.0,0.7
436683,28584,Tuba,Technical Etude-Rhythmic Accuracy,Technical Etude,Rhythmic Accuracy,6,10.0,0.6
436685,28584,Tuba,Scales-Chromatic,Chromatic Scale,Chromatic Scale,7,15.0,0.4666666666666667
436686,28584,Tuba,Scales-G,Major Scales,G,1,8.0,0.125
436687,28584,Tuba,Scales-C,Major Scales,C,2,8.0,0.25
436688,28584,Tuba,Scales-F,Major Scales,F,2,8.0,0.25
436689,28584,Tuba,Scales-Bb,Major Scales,Bb,1,8.0,0.125
436690,28584,Tuba,Scales-Eb,Major Scales,Eb,2,8.0,0.25
436691,28584,Tuba,Scales-Ab,Major Scales,Ab,1,8.0,0.125
436692,28584,Tuba,Scales-Db,Major Scales,Db,1,8.0,0.125
436696,28584,Tuba,Sight-Reading-Note Accuracy,Sight-Reading,Note Accuracy,5,10.0,0.5
436697,28584,Tuba,Sight-Reading-Rhythmic Accuracy,Sight-Reading,Rhythmic Accuracy,5,10.0,0.5
436698,28584,Tuba,"Sight-Reading-Musicallity, Tempo & Style",Sight-Reading,"Musicality, Tempo, & Style",4,10.0,0.4
436699,28584,Tuba,Sight-Reading-Tone Quality,Sight-Reading,Tone Quality,2,5.0,0.4
436701,28933,Flute,Sight-Reading-Note Accuracy,Sight-Reading,Note Accuracy,4,10.0,0.4
436702,28933,Flute,Sight-Reading-Rhythmic Accuracy,Sight-Reading,Rhythmic Accuracy,3,10.0,0.3
436703,28933,Flute,"Sight-Reading-Musicallity, Tempo & Style",Sight-Reading,"Musicality, Tempo, & Style",2,10.0,0.2
436704,28933,Flute,Sight-Reading-Tone Quality,Sight-Reading,Tone Quality,2,5.0,0.4
436706,28961,Flute,"Lyrical Etude-Musicallity, Tempo & Style",Lyrical Etude,"Musicality, Tempo, & Style",13,20.0,0.65
436707,28961,Flute,Lyrical Etude-Tone Quality,Lyrical Etude,Tone Quality,12,15.0,0.8
436708,28961,Flute,Lyrical Etude-Note Accuracy,Lyrical Etude,Note Accuracy,10,10.0,1.0
436709,28961,Flute,Lyrical Etude-Rhythmic Accuracy,Lyrical Etude,Rhythmic Accuracy,6,10.0,0.6
436717,28961,Flute,"Technical Etude-Musicallity, Tempo & Style",Technical Etude,"Musicality, Tempo, & Style",17,20.0,0.85
436718,28961,Flute,Technical Etude-Tone Quality,Technical Etude,Tone Quality,13,15.0,0.8666666666666667
436719,28961,Flute,Technical Etude-Note Accuracy,Technical Etude,Note Accuracy,10,10.0,1.0
436720,28961,Flute,Technical Etude-Rhythmic Accuracy,Technical Etude,Rhythmic Accuracy,9,10.0,0.9
436736,28961,Flute,Scales-Chromatic,Chromatic Scale,Chromatic Scale,13,15.0,0.8666666666666667
436737,28961,Flute,Scales-G,Major Scales,G,5,8.0,0.625
436738,28961,Flute,Scales-C,Major Scales,C,8,8.0,1.0
436739,28961,Flute,Scales-F,Major Scales,F,5,8.0,0.625
436740,28961,Flute,Scales-Bb,Major Scales,Bb,5,8.0,0.625
436741,28961,Flute,Scales-Eb,Major Scales,Eb,5,8.0,0.625
436742,28961,Flute,Scales-Ab,Major Scales,Ab,5,8.0,0.625
436743,28961,Flute,Scales-Db,Major Scales,Db,5,8.0,0.625
436767,28585,Euphonium,"Lyrical Etude-Musicallity, Tempo & Style",Lyrical Etude,"Musicality, Tempo, & Style",10,20.0,0.5
436768,28585,Euphonium,Lyrical Etude-Tone Quality,Lyrical Etude,Tone Quality,8,15.0,0.5333333333333333
436769,28585,Euphonium,Lyrical Etude-Note Accuracy,Lyrical Etude,Note Accuracy,7,10.0,0.7
436770,28585,Euphonium,Lyrical Etude-Rhythmic Accuracy,Lyrical Etude,Rhythmic Accuracy,7,10.0,0.7
436772,28585,Euphonium,"Technical Etude-Musicallity, Tempo & Style",Technical Etude,"Musicality, Tempo, & Style",11,20.0,0.55
436773,28585,Euphonium,Technical Etude-Tone Quality,Technical Etude,Tone Quality,8,15.0,0.5333333333333333
436774,28585,Euphonium,Technical Etude-Note Accuracy,Technical Etude,Note Accuracy,7,10.0,0.7
436775,28585,Euphonium,Technical Etude-Rhythmic Accuracy,Technical Etude,Rhythmic Accuracy,6,10.0,0.6
436777,28585,Euphonium,Scales-Chromatic,Chromatic Scale,Chromatic Scale,8,15.0,0.5333333333333333
436778,28585,Euphonium,Scales-G,Major Scales,G,2,8.0,0.25
436779,28585,Euphonium,Scales-C,Major Scales,C,0,8.0,0.0
436780,28585,Euphonium,Scales-F,Major Scales,F,2,8.0,0.25
436781,28585,Euphonium,Scales-Bb,Major Scales,Bb,0,8.0,0.0
436782,28585,Euphonium,Scales-Eb,Major Scales,Eb,2,8.0,0.25
436783,28585,Euphonium,Scales-Ab,Major Scales,Ab,1,8.0,0.125
436784,28585,Euphonium,Scales-Db,Major Scales,Db,1,8.0,0.125
436788,28585,Euphonium,Sight-Reading-Note Accuracy,Sight-Reading,Note Accuracy,5,10.0,0.5
436789,28585,Euphonium,Sight-Reading-Rhythmic Accuracy,Sight-Reading,Rhythmic Accuracy,6,10.0,0.6
436790,28585,Euphonium,"Sight-Reading-Musicallity, Tempo & Style",Sight-Reading,"Musicality, Tempo, & Style",5,10.0,0.5
436791,28585,Euphonium,Sight-Reading-Tone Quality,Sight-Reading,Tone Quality,3,5.0,0.6
436793,28961,Flute,Sight-Reading-Note Accuracy,Sight-Reading,Note Accuracy,6,10.0,0.6
436794,28961,Flute,Sight-Reading-Rhythmic Accuracy,Sight-Reading,Rhythmic Accuracy,5,10.0,0.5
436795,28961,Flute,"Sight-Reading-Musicallity, Tempo & Style",Sight-Reading,"Musicality, Tempo, & Style",2,10.0,0.2
436796,28961,Flute,Sight-Reading-Tone Quality,Sight-Reading,Tone Quality,4,5.0,0.8
436798,28972,Flute,"Lyrical Etude-Musicallity, Tempo & Style",Lyrical Etude,"Musicality, Tempo, & Style",15,20.0,0.75
436799,28972,Flute,Lyrical Etude-Tone Quality,Lyrical Etude,Tone Quality,8,15.0,0.5333333333333333
436800,28972,Flute,Lyrical Etude-Note Accuracy,Lyrical Etude,Note Accuracy,8,10.0,0.8
436801,28972,Flute,Lyrical Etude-Rhythmic Accuracy,Lyrical Etude,Rhythmic Accuracy,9,10.0,0.9
436803,28972,Flute,"Technical Etude-Musicallity, Tempo & Style",Technical Etude,"Musicality, Tempo, & Style",14,20.0,0.7
436804,28972,Flute,Technical Etude-Tone Quality,Technical Etude,Tone Quality,9,15.0,0.6
436805,28972,Flute,Technical Etude-Note Accuracy,Technical Etude,Note Accuracy,8,10.0,0.8
436806,28972,Flute,Technical Etude-Rhythmic Accuracy,Technical Etude,Rhythmic Accuracy,8,10.0,0.8
436808,28972,Flute,Scales-Chromatic,Chromatic Scale,Chromatic Scale,11,15.0,0.7333333333333333
436809,28972,Flute,Scales-G,Major Scales,G,4,8.0,0.5
436810,28972,Flute,Scales-C,Major Scales,C,6,8.0,0.75
436811,28972,Flute,Scales-F,Major Scales,F,5,8.0,0.625
436812,28972,Flute,Scales-Bb,Major Scales,Bb,4,8.0,0.5
436813,28972,Flute,Scales-Eb,Major Scales,Eb,3,8.0,0.375
436814,28972,Flute,Scales-Ab,Major Scales,Ab,4,8.0,0.5
436815,28972,Flute,Scales-Db,Major Scales,Db,6,8.0,0.75
436819,28602,Euphonium,"Lyrical Etude-Musicallity, Tempo & Style",Lyrical Etude,"Musicality, Tempo, & Style",10,20.0,0.5
436820,28602,Euphonium,Lyrical Etude-Tone Quality,Lyrical Etude,Tone Quality,7,15.0,0.4666666666666667
436821,28602,Euphonium,Lyrical Etude-Note Accuracy,Lyrical Etude,Note Accuracy,7,10.0,0.7
436822,28602,Euphonium,Lyrical Etude-Rhythmic Accuracy,Lyrical Etude,Rhythmic Accuracy,7,10.0,0.7
436824,28602,Euphonium,"Technical Etude-Musicallity, Tempo & Style",Technical Etude,"Musicality, Tempo, & Style",9,20.0,0.45
436825,28602,Euphonium,Technical Etude-Tone Quality,Technical Etude,Tone Quality,7,15.0,0.4666666666666667
436826,28602,Euphonium,Technical Etude-Note Accuracy,Technical Etude,Note Accuracy,6,10.0,0.6
436827,28602,Euphonium,Technical Etude-Rhythmic Accuracy,Technical Etude,Rhythmic Accuracy,6,10.0,0.6
436829,28602,Euphonium,Scales-Chromatic,Chromatic Scale,Chromatic Scale,9,15.0,0.6
436830,28602,Euphonium,Scales-G,Major Scales,G,1,8.0,0.125
436831,28602,Euphonium,Scales-C,Major Scales,C,0,8.0,0.0
436832,28602,Euphonium,Scales-F,Major Scales,F,1,8.0,0.125
436833,28602,Euphonium,Scales-Bb,Major Scales,Bb,0,8.0,0.0
436834,28602,Euphonium,Scales-Eb,Major Scales,Eb,0,8.0,0.0
436835,28602,Euphonium,Scales-Ab,Major Scales,Ab,0,8.0,0.0
436836,28602,Euphonium,Scales-Db,Major Scales,Db,0,8.0,0.0
436840,28602,Euphonium,Sight-Reading-Note Accuracy,Sight-Reading,Note Accuracy,3,10.0,0.3
436841,28602,Euphonium,Sight-Reading-Rhythmic Accuracy,Sight-Reading,Rhythmic Accuracy,4,10.0,0.4
436842,28602,Euphonium,"Sight-Reading-Musicallity, Tempo & Style",Sight-Reading,"Musicality, Tempo, & Style",4,10.0,0.4
436843,28602,Euphonium,Sight-Reading-Tone Quality,Sight-Reading,Tone Quality,2,5.0,0.4
436845,28972,Flute,Sight-Reading-Note Accuracy,Sight-Reading,Note Accuracy,6,10.0,0.6
436846,28972,Flute,Sight-Reading-Rhythmic Accuracy,Sight-Reading,Rhythmic Accuracy,5,10.0,0.5
436847,28972,Flute,"Sight-Reading-Musicallity, Tempo & Style",Sight-Reading,"Musicality, Tempo, & Style",5,10.0,0.5
436848,28972,Flute,Sight-Reading-Tone Quality,Sight-Reading,Tone Quality,3,5.0,0.6
436850,29037,Flute,"Lyrical Etude-Musicallity, Tempo & Style",Lyrical Etude,"Musicality, Tempo, & Style",7,20.0,0.35
436851,29037,Flute,Lyrical Etude-Tone Quality,Lyrical Etude,Tone Quality,6,15.0,0.4
436852,29037,Flute,Lyrical Etude-Note Accuracy,Lyrical Etude,Note Accuracy,9,10.0,0.9
436853,29037,Flute,Lyrical Etude-Rhythmic Accuracy,Lyrical Etude,Rhythmic Accuracy,4,10.0,0.4
436855,29037,Flute,"Technical Etude-Musicallity, Tempo & Style",Technical Etude,"Musicality, Tempo, & Style",7,20.0,0.35
436856,29037,Flute,Technical Etude-Tone Quality,Technical Etude,Tone Quality,5,15.0,0.3333333333333333
436857,29037,Flute,Technical Etude-Note Accuracy,Technical Etude,Note Accuracy,6,10.0,0.6
436858,29037,Flute,Technical Etude-Rhythmic Accuracy,Technical Etude,Rhythmic Accuracy,5,10.0,0.5
436860,29037,Flute,Scales-Chromatic,Chromatic Scale,Chromatic Scale,3,15.0,0.2
436861,29037,Flute,Scales-G,Major Scales,G,5,8.0,0.625
436862,29037,Flute,Scales-C,Major Scales,C,4,8.0,0.5
436863,29037,Flute,Scales-F,Major Scales,F,5,8.0,0.625
436864,29037,Flute,Scales-Bb,Major Scales,Bb,4,8.0,0.5
436865,29037,Flute,Scales-Eb,Major Scales,Eb,5,8.0,0.625
436897,29037,Flute,Scales-Ab,Major Scales,Ab,3,8.0,0.375
436898,29037,Flute,Scales-Db,Major Scales,Db,3,8.0,0.375
436902,29037,Flute,Sight-Reading-Note Accuracy,Sight-Reading,Note Accuracy,4,10.0,0.4
436903,29037,Flute,Sight-Reading-Rhythmic Accuracy,Sight-Reading,Rhythmic Accuracy,5,10.0,0.5
436904,29037,Flute,"Sight-Reading-Musicallity, Tempo & Style",Sight-Reading,"Musicality, Tempo, & Style",3,10.0,0.3
436905,29037,Flute,Sight-Reading-Tone Quality,Sight-Reading,Tone Quality,3,5.0,0.6
436907,29042,Flute,"Lyrical Etude-Musicallity, Tempo & Style",Lyrical Etude,"Musicality, Tempo, & Style",2,20.0,0.1
436908,29042,Flute,Lyrical Etude-Tone Quality,Lyrical Etude,Tone Quality,7,15.0,0.4666666666666667
436909,29042,Flute,Lyrical Etude-Note Accuracy,Lyrical Etude,Note Accuracy,3,10.0,0.3
436910,29042,Flute,Lyrical Etude-Rhythmic Accuracy,Lyrical Etude,Rhythmic Accuracy,3,10.0,0.3
436912,29042,Flute,"Technical Etude-Musicallity, Tempo & Style",Technical Etude,"Musicality, Tempo, & Style",0,20.0,0.0
436913,29042,Flute,Technical Etude-Tone Quality,Technical Etude,Tone Quality,0,15.0,0.0
436914,29042,Flute,Technical Etude-Note Accuracy,Technical Etude,Note Accuracy,0,10.0,0.0
436915,29042,Flute,Technical Etude-Rhythmic Accuracy,Technical Etude,Rhythmic Accuracy,0,10.0,0.0
436917,28711,Tuba,"Lyrical Etude-Musicallity, Tempo & Style",Lyrical Etude,"Musicality, Tempo, & Style",11,20.0,0.55
436918,28711,Tuba,Lyrical Etude-Tone Quality,Lyrical Etude,Tone Quality,8,15.0,0.5333333333333333
436919,28711,Tuba,Lyrical Etude-Note Accuracy,Lyrical Etude,Note Accuracy,7,10.0,0.7
436920,28711,Tuba,Lyrical Etude-Rhythmic Accuracy,Lyrical Etude,Rhythmic Accuracy,7,10.0,0.7
436922,28711,Tuba,"Technical Etude-Musicallity, Tempo & Style",Technical Etude,"Musicality, Tempo, & Style",10,20.0,0.5
436923,28711,Tuba,Technical Etude-Tone Quality,Technical Etude,Tone Quality,7,15.0,0.4666666666666667
436924,28711,Tuba,Technical Etude-Note Accuracy,Technical Etude,Note Accuracy,7,10.0,0.7
436925,28711,Tuba,Technical Etude-Rhythmic Accuracy,Technical Etude,Rhythmic Accuracy,6,10.0,0.6
436927,28711,Tuba,Scales-Chromatic,Chromatic Scale,Chromatic Scale,8,15.0,0.5333333333333333
436928,28711,Tuba,Scales-G,Major Scales,G,2,8.0,0.25
436929,28711,Tuba,Scales-C,Major Scales,C,0,8.0,0.0
436930,28711,Tuba,Scales-F,Major Scales,F,2,8.0,0.25
436931,28711,Tuba,Scales-Bb,Major Scales,Bb,0,8.0,0.0
436932,28711,Tuba,Scales-Eb,Major Scales,Eb,0,8.0,0.0
436933,28711,Tuba,Scales-Ab,Major Scales,Ab,0,8.0,0.0
436934,28711,Tuba,Scales-Db,Major Scales,Db,0,8.0,0.0
